country
China
Indonesia
Bangladesh
Philippines
Turkey
Thailand
South Korea
Afghanistan
Uzbekistan
Yemen
North Korea
Kazakhstan
Cambodia
Azerbaijan
Tajikistan
Laos
Kyrgyzstan
Singapore
State of Palestine
Georgia
Armenia
Bahrain
Cyprus
Maldives
Taiwan
Macao
India
Pakistan
Japan
Vietnam
Iran
Myanmar
Iraq
Saudi Arabia
Malaysia
Nepal
Sri Lanka
Syria
Jordan
United Arab Emirates
Israel
Lebanon
Turkmenistan
Oman
Kuwait
Mongolia
Qatar
Timor-Leste
Bhutan
Brunei
Hong Kong
