id,total_count,total_length,total_density,count_trunk,count_residential,count_tertiary,count_intersection,count_service,count_track,count_living_street,count_primary,count_secondary,count_pedestrian,length_trunk,length_residential,length_tertiary,length_intersection,length_service,length_track,length_living_street,length_primary,length_secondary,length_pedestrian,density_trunk,density_residential,density_tertiary,density_intersection,density_service,density_track,density_living_street,density_primary,density_secondary,density_pedestrian
UGA_2016_38,66.0,123699.23,2757.97,0.0,0.0,0.0,0,0.0,59.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,108953.54,0.0,0.0,2181.71,0,0.0,0.0,0.0,0,0.0,2429.2,0.0,0.0,48.64,0
UGA_2016_39,150.0,92547.31,2063.44,0.0,43.0,5.0,0,14.0,50.0,0.0,1.0,0.0,0,0.0,42635.15,3973.93,0,8802.2,17758.91,0.0,9086.01,0.0,0,0.0,950.6,88.6,0,196.25,395.95,0.0,202.58,0.0,0
UGA_2016_4,98.0,102885.94,2294.04,0.0,27.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0,0.0,18778.69,0.0,0,0.0,0.0,0.0,0.0,5988.32,0,0.0,418.71,0.0,0,0.0,0.0,0.0,0.0,133.52,0
UGA_2016_40,2.0,9296.56,207.28,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9296.56,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,207.28,0.0,0
UGA_2016_41,2.0,14718.33,328.17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7458.11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,166.29,0
UGA_2016_42,22.0,39670.79,884.55,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,4551.96,0.0,0,0.0,0.0,0.0,0.0,7526.44,0,0.0,101.5,0.0,0,0.0,0.0,0.0,0.0,167.82,0
UGA_2016_43,5.0,18003.16,401.44,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,11789.74,0,0.0,397.43,0.0,230.58,0.0,0,0.0,0.0,262.89,0,0.0,8.86,0.0,5.14,0.0,0
UGA_2016_44,35.0,58119.58,1295.98,0.0,2.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0.0,1741.1,0.0,0,602.31,0.0,0.0,0.0,0.0,0,0.0,38.82,0.0,0,13.43,0.0,0.0,0.0,0.0,0
UGA_2016_45,11.0,26629.65,593.81,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3923.36,7368.1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,87.49,164.3,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_46,28.0,52569.59,1172.24,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2581.34,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,57.56,0.0,0.0,0.0,0
