id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
MW_2016_581,13.0,16213.31,381.15,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4201.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98.78,0.0,0.0,0.0,0.0,0.0
MW_2016_582,43.0,44222.45,1039.58,0.0,0.0,0.0,0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26373.11,0.0,7211.37,0.0,0.0,0.0,0.0,0.0,0.0,0,619.98,0.0,169.52,0.0,0.0,0.0
MW_2016_583,28.0,29312.04,689.03,0.0,0.0,0.0,0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8469.83,0.0,0.0,0.0,1649.3,0.0,0.0,0.0,0.0,0,199.1,0.0,0.0,0.0,38.77,0.0
MW_2016_584,17.0,22850.62,537.14,0.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6749.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,158.65,0.0,0.0,0.0,0.0,0.0
MW_2016_585,6.0,18595.51,437.09,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661.26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.57,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2016_586,49.0,41702.34,979.95,2.0,0.0,0.0,0,36.0,0.0,0.0,0.0,1.0,0.0,420.42,0.0,0.0,0,16559.31,0.0,0.0,0.0,2658.4,0.0,9.88,0.0,0.0,0,389.12,0.0,0.0,0.0,62.47,0.0
MW_2016_587,39.0,38203.63,897.54,5.0,0.0,0.0,0,21.0,0.0,2.0,0.0,4.0,0.0,1662.49,0.0,0.0,0,10002.98,0.0,6696.65,0.0,7361.31,0.0,39.06,0.0,0.0,0,235.01,0.0,157.33,0.0,172.94,0.0
MW_2016_588,55.0,52874.5,1241.88,5.0,0.0,0.0,0,39.0,0.0,1.0,0.0,1.0,0.0,1729.1,0.0,0.0,0,26193.73,0.0,6854.07,0.0,1910.1,0.0,40.61,0.0,0.0,0,615.22,0.0,160.98,0.0,44.86,0.0
MW_2016_589,3.0,5124.15,120.34,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3623.24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2016_59,459.0,156129.1,3765.06,110.0,0.0,0.0,0,15.0,0.0,15.0,1.0,0.0,0.0,40951.72,0.0,0.0,0,2251.02,0.0,16948.47,7686.91,0.0,0.0,987.55,0.0,0.0,0,54.28,0.0,408.71,185.37,0.0,0.0
