cafe,hospital,clothes,museum,comms_tower,waste_basket,recycling,camera_surveillance,courthouse,swimming_pool,university,doctors,bench,car_dealership,bicycle_shop,post_office,graveyard,car_wash,public_building,atm,sports_shop,shoe_shop,sports_centre,prison,community_centre,computer_shop,mall,hotel,pub,doityourself,drinking_water,embassy,fire_station,hairdresser,cinema,artwork,nightclub,chemist,memorial,water_well,school,optician,florist,travel_agent,outdoor_shop,pitch,post_box,pharmacy,beverages,supermarket,shelter,viewpoint,camp_site,car_rental,guesthouse,toy_shop,gift_shop,department_store,greengrocer,food_court,monument,fountain,fast_food,stadium,bookshop,water_works,kiosk,convenience,bakery,kindergarten,chalet,bar,restaurant,tower,furniture_shop,college,jeweller,beauty_shop,theatre,mobile_phone_shop,hostel,motel,dentist,track,playground,tourist_info,police,picnic_site,veterinary,bank,others,stationery,butcher,park,toilet,library,telephone,laundry,attraction,town_hall,water_tower,id
1.0,8.0,0,0,0,15.0,1.0,0,1.0,0,6.0,11.0,23.0,0,0,2.0,0,26.0,15.0,5.0,0,0,0,0.0,5.0,0,0,0,3.0,0,2.0,11.0,1.0,0,0.0,0,5.0,0,0,0,158.0,0,0,0,0,0,0,32.0,0,0,0.0,0,0,3.0,0,0,0,0,0,6.0,0,2.0,14.0,0,0,0,0,0,0,13.0,0,17.0,60.0,1.0,0,22.0,0,0,2.0,0,0,0,7.0,0,0,0,12.0,0,1.0,55.0,0,0,0,0,0,3.0,1.0,0,0,0,0,MLI_2019_108
1.0,9.0,0,0,0,15.0,1.0,0,1.0,0,6.0,11.0,23.0,0,0,2.0,0,26.0,15.0,5.0,0,0,0,0.0,5.0,0,0,0,3.0,0,2.0,11.0,1.0,0,0.0,0,5.0,0,0,0,158.0,0,0,0,0,0,0,32.0,0,0,0.0,0,0,3.0,0,0,0,0,0,6.0,0,2.0,14.0,0,0,0,0,0,0,13.0,0,17.0,62.0,1.0,0,22.0,0,0,2.0,0,0,0,7.0,0,0,0,12.0,0,1.0,55.0,0,0,0,0,0,3.0,1.0,0,0,0,0,MLI_2019_109
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,11.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_11
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_110
1.0,9.0,0,0,0,16.0,2.0,0,2.0,0,6.0,12.0,24.0,0,0,2.0,0,27.0,15.0,7.0,0,0,0,1.0,7.0,0,0,0,3.0,0,2.0,12.0,2.0,0,2.0,0,5.0,0,0,0,176.0,0,0,0,0,0,0,41.0,0,0,0.0,0,0,3.0,0,0,0,0,0,7.0,0,2.0,18.0,0,0,0,0,0,0,12.0,0,18.0,69.0,1.0,0,25.0,0,0,2.0,0,0,0,8.0,0,0,0,17.0,0,1.0,64.0,0,0,0,0,0,4.0,1.0,0,0,0,0,MLI_2019_111
1.0,2.0,0,0,0,0.0,0.0,0,4.0,0,3.0,6.0,1.0,0,0,0.0,0,4.0,1.0,6.0,0,0,0,0.0,4.0,0,0,0,0.0,0,2.0,8.0,1.0,0,0.0,0,4.0,0,0,0,106.0,0,0,0,0,0,0,22.0,0,0,0.0,0,0,2.0,0,0,0,0,0,1.0,0,0.0,7.0,0,0,0,0,0,0,9.0,0,11.0,34.0,0.0,0,8.0,0,0,0.0,0,0,0,0.0,0,0,0,11.0,0,1.0,29.0,0,0,0,0,0,1.0,1.0,0,0,0,0,MLI_2019_112
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,1.0,9.0,0.0,0,0,0.0,0,3.0,1.0,2.0,0,0,0,0.0,2.0,0,0,0,1.0,0,2.0,8.0,1.0,0,0.0,0,2.0,0,0,0,92.0,0,0,0,0,0,0,21.0,0,0,0.0,0,0,3.0,0,0,0,0,0,1.0,0,0.0,7.0,0,0,0,0,0,0,9.0,0,8.0,24.0,0.0,0,3.0,0,0,0.0,0,0,0,0.0,0,0,0,11.0,0,0.0,25.0,0,0,0,0,0,0.0,1.0,0,0,0,0,MLI_2019_113
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,3.0,7.0,1.0,0,0,0.0,0,3.0,1.0,5.0,0,0,0,0.0,2.0,0,0,0,1.0,0,2.0,8.0,1.0,0,0.0,0,4.0,0,0,0,102.0,0,0,0,0,0,0,22.0,0,0,0.0,0,0,2.0,0,0,0,0,0,1.0,0,0.0,7.0,0,0,0,0,0,0,10.0,0,11.0,31.0,0.0,0,6.0,0,0,0.0,0,0,0,0.0,0,0,0,11.0,0,0.0,27.0,0,0,0,0,0,1.0,1.0,0,0,0,0,MLI_2019_114
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,5.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_115
1.0,10.0,0,0,0,15.0,1.0,0,1.0,0,6.0,8.0,23.0,0,0,2.0,0,24.0,15.0,5.0,0,0,0,0.0,2.0,0,0,0,2.0,0,1.0,10.0,1.0,0,1.0,0,3.0,0,0,0,86.0,0,0,0,0,0,0,25.0,0,0,0.0,0,0,1.0,0,0,0,0,0,6.0,0,0.0,13.0,0,0,0,0,0,0,11.0,0,13.0,51.0,0.0,0,21.0,0,0,1.0,0,0,0,4.0,0,0,0,7.0,0,2.0,34.0,0,0,0,0,0,2.0,0.0,0,0,0,0,MLI_2019_116
