id,total_count,total_length,total_density,count_tertiary,count_trunk,count_residential,count_pedestrian,count_intersection,count_secondary,count_living_street,count_track,count_service,count_primary,length_tertiary,length_trunk,length_residential,length_pedestrian,length_intersection,length_secondary,length_living_street,length_track,length_service,length_primary,density_tertiary,density_trunk,density_residential,density_pedestrian,density_intersection,density_secondary,density_living_street,density_track,density_service,density_primary
MLI_2019_313,102.0,87367.76,2075.77,0.0,0.0,34.0,0.0,0,1.0,0.0,12.0,0.0,6.0,0.0,0.0,9097.86,0.0,0,3513.73,0.0,7615.79,0.0,7474.48,0.0,0.0,216.16,0.0,0,83.48,0.0,180.94,0.0,177.59
MLI_2019_314,714.0,227550.28,5406.83,17.0,0.0,361.0,0.0,0,8.0,0.0,108.0,33.0,1.0,12144.52,0.0,83594.18,0.0,0,4738.41,0.0,48215.96,4052.29,4432.47,288.57,0.0,1986.28,0.0,0,112.59,0.0,1145.66,96.29,105.32
MLI_2019_315,694.0,217555.79,5169.47,17.0,0.0,353.0,0.0,0,8.0,0.0,107.0,33.0,1.0,12367.48,0.0,80827.73,0.0,0,4738.41,0.0,46780.57,4052.29,4581.84,293.87,0.0,1920.59,0.0,0,112.59,0.0,1111.58,96.29,108.87
MLI_2019_316,655.0,199723.94,4745.81,17.0,0.0,339.0,0.0,0,8.0,0.0,102.0,33.0,1.0,12221.02,0.0,75479.41,0.0,0,4738.41,0.0,46211.96,4052.29,4344.6,290.39,0.0,1793.53,0.0,0,112.59,0.0,1098.08,96.29,103.24
MLI_2019_317,670.0,204237.33,4853.08,17.0,0.0,343.0,0.0,0,8.0,0.0,102.0,33.0,1.0,12400.1,0.0,77291.6,0.0,0,4738.41,0.0,45671.78,4052.29,4430.21,294.65,0.0,1836.6,0.0,0,112.59,0.0,1085.25,96.29,105.27
MLI_2019_318,641.0,195509.42,4645.85,17.0,0.0,337.0,0.0,0,8.0,0.0,99.0,33.0,1.0,12505.5,0.0,74759.51,0.0,0,4738.41,0.0,44960.46,4052.29,4343.72,297.17,0.0,1776.49,0.0,0,112.6,0.0,1068.39,96.29,103.22
MLI_2019_319,570.0,161716.02,3842.89,17.0,0.0,305.0,0.0,0,8.0,0.0,103.0,30.0,1.0,12200.04,0.0,65828.68,0.0,0,4738.41,0.0,47418.72,3831.25,3689.94,289.91,0.0,1564.3,0.0,0,112.6,0.0,1126.82,91.04,87.68
MLI_2019_32,7.0,12589.32,291.85,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7062.57,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,163.73
MLI_2019_320,570.0,162003.74,3849.73,17.0,0.0,306.0,0.0,0,8.0,0.0,102.0,30.0,1.0,12220.95,0.0,65923.86,0.0,0,4738.41,0.0,47438.64,3831.25,3698.33,290.41,0.0,1566.56,0.0,0,112.6,0.0,1127.29,91.04,87.88
MLI_2019_321,113.0,70485.75,1675.24,0.0,0.0,10.0,0.0,0,0.0,0.0,61.0,2.0,1.0,0.0,0.0,2766.84,0.0,0,0.0,0.0,43698.51,145.57,1558.08,0.0,0.0,65.76,0.0,0,0.0,0.0,1038.58,3.46,37.03
MLI_2019_322,47.0,26040.75,619.01,0.0,1.0,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5432.54,2247.78,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,129.14,53.43,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_323,30.0,28405.3,675.23,0.0,0.0,0.0,0.0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7784.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,185.05,0.0,0.0
MLI_2019_324,481.0,231984.48,5514.63,13.0,0.0,314.0,0.0,0,0.0,0.0,41.0,4.0,6.0,7795.63,0.0,100048.82,0.0,0,0.0,0.0,22367.3,2089.35,13571.39,185.31,0.0,2378.32,0.0,0,0.0,0.0,531.71,49.67,322.61
MLI_2019_325,19.0,27627.31,656.81,0.0,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.36,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.96,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_326,448.0,225340.83,5357.31,6.0,0.0,301.0,0.0,0,0.0,0.0,40.0,4.0,4.0,5865.41,0.0,94917.0,0.0,0,0.0,0.0,22399.62,1271.46,13645.3,139.45,0.0,2256.58,0.0,0,0.0,0.0,532.53,30.23,324.41
MLI_2019_327,39.0,39024.97,927.8,0.0,3.0,3.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,4703.01,2538.42,0.0,0,0.0,0.0,2084.49,0.0,0.0,0.0,111.81,60.35,0.0,0,0.0,0.0,49.56,0.0,0.0
MLI_2019_328,82.0,38048.79,904.69,0.0,0.0,55.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9522.05,0.0,0,7201.98,0.0,0.0,0.0,0.0,0.0,0.0,226.41,0.0,0,171.24,0.0,0.0,0.0,0.0
MLI_2019_329,64.0,47031.89,1118.32,0.0,0.0,15.0,0.0,0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,3057.43,0.0,0,0.0,0.0,5664.25,255.33,0.0,0.0,0.0,72.7,0.0,0,0.0,0.0,134.68,6.07,0.0
MLI_2019_33,198.0,77499.58,1796.64,1.0,0.0,5.0,0.0,0,0.0,0.0,111.0,0.0,0.0,8598.95,0.0,1866.61,0.0,0,0.0,0.0,30197.54,0.0,0.0,199.35,0.0,43.27,0.0,0,0.0,0.0,700.06,0.0,0.0
MLI_2019_330,9.0,18071.81,429.73,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4055.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,96.44,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_331,66.0,65405.37,1555.68,9.0,0.0,2.0,0.0,0,0.0,0.0,32.0,0.0,0.0,7833.01,0.0,79.01,0.0,0,0.0,0.0,27502.77,0.0,0.0,186.31,0.0,1.88,0.0,0,0.0,0.0,654.16,0.0,0.0
MLI_2019_332,53.0,31746.97,755.13,0.0,0.0,43.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8849.67,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.5,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_333,116.0,60994.88,1451.02,1.0,0.0,33.0,0.0,0,0.0,0.0,45.0,0.0,4.0,4780.61,0.0,9932.83,0.0,0,0.0,0.0,16505.56,0.0,6333.39,113.73,0.0,236.29,0.0,0,0.0,0.0,392.65,0.0,150.67
MLI_2019_334,29.0,38999.74,927.77,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,21009.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,499.81,0.0,0.0
MLI_2019_335,225.0,84747.65,2016.37,0.0,0.0,51.0,16.0,0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,21044.99,1817.52,0,0.0,72.7,13030.27,0.0,0.0,0.0,0.0,500.72,43.24,0,0.0,1.73,310.02,0.0,0.0
MLI_2019_336,60.0,55731.05,1326.35,1.0,0.0,0.0,0.0,0,0.0,0.0,33.0,0.0,0.0,2630.18,0.0,0.0,0.0,0,0.0,0.0,26262.58,0.0,0.0,62.6,0.0,0.0,0.0,0,0.0,0.0,625.03,0.0,0.0
MLI_2019_337,23.0,28984.7,689.82,0.0,0.0,1.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,547.41,0.0,0,0.0,0.0,2395.65,0.0,0.0,0.0,0.0,13.03,0.0,0,0.0,0.0,57.02,0.0,0.0
MLI_2019_338,11.0,23482.25,558.94,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,7438.3,0.0,0.0,0.0,0,0.0,0.0,2536.84,0.0,0.0,177.05,0.0,0.0,0.0,0,0.0,0.0,60.38,0.0,0.0
MLI_2019_339,528.0,247381.2,5888.49,15.0,0.0,211.0,0.0,0,2.0,0.0,196.0,3.0,0.0,14191.44,0.0,57874.68,0.0,0,9156.45,0.0,129589.22,231.17,0.0,337.8,0.0,1377.61,0.0,0,217.95,0.0,3084.65,5.5,0.0
MLI_2019_34,67.0,41392.37,959.7,3.0,0.0,8.0,0.0,0,0.0,0.0,10.0,0.0,1.0,6684.51,0.0,2116.95,0.0,0,0.0,0.0,7350.26,0.0,857.91,154.98,0.0,49.08,0.0,0,0.0,0.0,170.42,0.0,19.89
MLI_2019_340,79.0,47182.04,1123.64,0.0,0.0,7.0,0.0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2059.8,0.0,0,0.0,0.0,12154.79,0.0,0.0,0.0,0.0,49.05,0.0,0,0.0,0.0,289.47,0.0,0.0
MLI_2019_341,41.0,44344.64,1056.25,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6439.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,153.38,0.0,0.0
MLI_2019_342,28.0,32594.6,776.56,0.0,0.0,12.0,0.0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4255.61,0.0,0,0.0,0.0,14552.95,0.0,0.0,0.0,0.0,101.39,0.0,0,0.0,0.0,346.72,0.0,0.0
MLI_2019_343,35.0,62117.56,1480.58,0.0,0.0,3.0,0.0,0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,6948.79,0.0,0,0.0,0.0,24250.94,0.0,0.0,0.0,0.0,165.62,0.0,0,0.0,0.0,578.02,0.0,0.0
MLI_2019_344,256.0,122296.16,2915.05,1.0,0.0,159.0,0.0,0,3.0,0.0,61.0,0.0,0.0,1872.77,0.0,37951.18,0.0,0,9258.61,0.0,52553.72,0.0,0.0,44.64,0.0,904.6,0.0,0,220.69,0.0,1252.67,0.0,0.0
