id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
NG_2015_194,1663.0,342211.94,7725.47,614.0,3.0,0.0,0,0.0,926.0,52.0,0.0,0.0,0.0,129390.93,12242.81,0.0,0,0.0,152702.2,33029.41,0.0,0.0,0.0,2921.01,276.38,0.0,0,0.0,3447.27,745.64,0.0,0.0,0.0
NG_2015_195,333.0,143141.25,3231.43,298.0,0.0,0.0,0,0.0,0.0,2.0,16.0,2.0,0.0,101193.93,0.0,0.0,0,0.0,0.0,3056.59,17976.12,7778.07,0.0,2284.46,0.0,0.0,0,0.0,0.0,69.0,405.81,175.59,0.0
NG_2015_196,747.0,234326.1,5289.95,638.0,0.0,0.0,0,0.0,0.0,3.0,67.0,0.0,1.0,182301.2,0.0,0.0,0,0.0,0.0,211.78,45030.08,0.0,84.5,4115.48,0.0,0.0,0,0.0,0.0,4.78,1016.56,0.0,1.91
NG_2015_197,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_198,562.0,214024.09,4831.86,320.0,0.0,0.0,0,7.0,0.0,0.0,20.0,0.0,2.0,98571.04,0.0,0.0,0,1257.77,0.0,0.0,25174.45,0.0,229.76,2225.36,0.0,0.0,0,28.4,0.0,0.0,568.34,0.0,5.19
NG_2015_199,2027.0,419031.26,9460.23,805.0,7.0,0.0,0,0.0,1068.0,64.0,0.0,2.0,0.0,163851.46,13186.02,0.0,0,0.0,181618.41,38197.56,0.0,2912.83,0.0,3699.18,297.69,0.0,0,0.0,4100.3,862.36,0.0,65.76,0.0
NG_2015_2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_20,4.0,11513.53,258.46,2.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,2120.58,0.0,0.0,0,0.0,0.0,8832.62,0.0,0.0,560.34,47.6,0.0,0.0,0,0.0,0.0,198.27,0.0,0.0,12.58
NG_2015_200,1708.0,533358.33,12041.62,1306.0,28.0,0.0,0,0.0,0.0,28.0,69.0,40.0,2.0,367319.75,13780.72,0.0,0,0.0,0.0,8520.14,25243.21,28262.31,362.23,8292.97,311.13,0.0,0,0.0,0.0,192.36,569.92,638.08,8.18
NG_2015_201,1.0,7841.57,177.04,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7841.57,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_202,243.0,117927.65,2662.49,208.0,0.0,0.0,0,0.0,0.0,2.0,14.0,2.0,0.0,78298.87,0.0,0.0,0,0.0,0.0,2593.85,15303.44,13929.93,0.0,1767.78,0.0,0.0,0,0.0,0.0,58.56,345.51,314.5,0.0
NG_2015_203,5.0,22039.61,497.61,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10851.86,7961.72,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,245.01,179.76,0.0,0.0
NG_2015_204,1648.0,518815.61,11713.84,1458.0,0.0,0.0,0,0.0,0.0,21.0,42.0,12.0,27.0,414428.28,0.0,0.0,0,0.0,0.0,20559.8,24659.65,16466.45,2017.99,9356.98,0.0,0.0,0,0.0,0.0,464.2,556.77,371.78,45.56
NG_2015_205,1690.0,528182.7,11925.42,1502.0,0.0,0.0,0,0.0,0.0,17.0,62.0,7.0,27.0,430366.09,0.0,0.0,0,0.0,0.0,17828.74,30063.02,8442.38,2017.99,9716.9,0.0,0.0,0,0.0,0.0,402.54,678.77,190.61,45.56
NG_2015_206,1635.0,520322.05,11748.04,1476.0,0.0,0.0,0,0.0,0.0,13.0,52.0,6.0,24.0,431919.31,0.0,0.0,0,0.0,0.0,15530.5,27485.61,6955.58,1869.28,9752.05,0.0,0.0,0,0.0,0.0,350.65,620.58,157.05,42.21
NG_2015_207,1.0,4120.84,93.04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4120.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,93.04,0.0
NG_2015_208,1475.0,490833.51,11082.41,1363.0,0.0,0.0,0,0.0,0.0,12.0,39.0,6.0,0.0,412974.79,0.0,0.0,0,0.0,0.0,15478.43,22898.35,4943.13,0.0,9324.46,0.0,0.0,0,0.0,0.0,349.48,517.02,111.61,0.0
NG_2015_209,948.0,316720.26,7151.18,638.0,19.0,0.0,0,0.0,0.0,30.0,33.0,28.0,6.0,182743.82,12600.92,0.0,0,0.0,0.0,7203.3,13203.63,20652.26,1941.88,4126.15,284.51,0.0,0,0.0,0.0,162.64,298.12,466.3,43.85
NG_2015_21,268.0,157092.62,3526.6,145.0,0.0,0.0,0,0.0,0.0,22.0,11.0,24.0,9.0,57485.29,0.0,0.0,0,0.0,0.0,31044.06,17922.93,21433.8,3215.63,1290.5,0.0,0.0,0,0.0,0.0,696.91,402.35,481.17,72.19
NG_2015_210,6.0,22013.84,497.05,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8248.97,7704.49,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,186.25,173.96,0.0,0.0
NG_2015_211,372.0,140678.39,3176.39,359.0,0.0,0.0,0,0.0,0.0,0.0,8.0,0.0,0.0,115574.71,0.0,0.0,0,0.0,0.0,0.0,23602.9,0.0,0.0,2609.57,0.0,0.0,0,0.0,0.0,0.0,532.93,0.0,0.0
NG_2015_212,1.0,6733.81,152.04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6733.81,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,152.04,0.0
NG_2015_213,334.0,147626.93,3333.3,319.0,0.0,0.0,0,0.0,0.0,2.0,4.0,0.0,8.0,128125.34,0.0,0.0,0,0.0,0.0,1961.64,5544.12,0.0,6790.87,2892.97,0.0,0.0,0,0.0,0.0,44.29,125.18,0.0,153.33
NG_2015_214,1534.0,517518.58,11685.27,1306.0,2.0,0.0,0,0.0,0.0,19.0,86.0,12.0,3.0,409819.7,3959.03,0.0,0,0.0,0.0,13835.69,34839.61,6006.69,466.65,9253.49,89.39,0.0,0,0.0,0.0,312.4,786.66,135.63,10.54
NG_2015_215,4.0,5249.36,118.53,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1886.63,1086.62,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.6,24.54,0.0,0.0
NG_2015_216,281.0,138940.82,3137.23,267.0,0.0,0.0,0,0.0,0.0,1.0,5.0,0.0,7.0,115405.1,0.0,0.0,0,0.0,0.0,2630.0,10771.43,0.0,4929.33,2605.8,0.0,0.0,0,0.0,0.0,59.38,243.21,0.0,111.3
NG_2015_217,271.0,106572.79,2406.38,250.0,0.0,0.0,0,0.0,0.0,1.0,4.0,2.0,3.0,71592.33,0.0,0.0,0,0.0,0.0,617.29,16299.34,4885.88,3331.54,1616.53,0.0,0.0,0,0.0,0.0,13.94,368.03,110.32,75.23
NG_2015_218,1411.0,487409.8,11005.91,1200.0,2.0,0.0,0,0.0,0.0,17.0,87.0,0.0,4.0,392276.93,6675.46,0.0,0,0.0,0.0,8473.23,34054.27,0.0,1813.09,8857.77,150.73,0.0,0,0.0,0.0,191.33,768.96,0.0,40.94
NG_2015_219,1.0,6890.29,155.59,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6890.29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_22,847.0,304070.9,6826.2,511.0,16.0,0.0,0,0.0,0.0,27.0,48.0,85.0,5.0,147021.68,15220.08,0.0,0,0.0,0.0,14182.58,21548.31,61672.42,1183.21,3300.54,341.68,0.0,0,0.0,0.0,318.39,483.75,1384.51,26.56
NG_2015_220,8.0,24816.42,560.37,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,867.35,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.59,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_221,49.0,31277.91,706.29,30.0,0.0,0.0,0,4.0,0.0,0.0,1.0,3.0,6.0,11521.86,0.0,0.0,0,1347.55,0.0,0.0,6323.22,4168.68,4720.83,260.18,0.0,0.0,0,30.43,0.0,0.0,142.79,94.13,106.6
NG_2015_222,1303.0,408720.86,9229.77,1071.0,6.0,0.0,0,0.0,0.0,28.0,28.0,9.0,7.0,293172.53,5384.17,0.0,0,0.0,0.0,10419.61,18609.06,6507.28,2302.68,6620.45,121.59,0.0,0,0.0,0.0,235.3,420.23,146.95,52.0
NG_2015_223,8.0,19995.99,451.56,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5364.15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,121.14,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_224,1117.0,428729.45,9682.01,745.0,8.0,0.0,0,0.0,0.0,16.0,35.0,11.0,3.0,259227.89,17607.02,0.0,0,0.0,0.0,6823.22,19058.19,8968.68,3262.39,5854.15,397.62,0.0,0,0.0,0.0,154.09,430.39,202.54,73.67
NG_2015_225,6.0,24813.22,560.37,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11347.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,256.28,0.0,0.0,0.0
NG_2015_226,2.0,2763.29,62.41,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_227,11.0,26284.71,593.62,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13376.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,302.1,0.0,0.0,0.0
NG_2015_228,148.0,87491.04,1976.14,140.0,0.0,0.0,0,0.0,0.0,1.0,3.0,0.0,0.0,74265.35,0.0,0.0,0,0.0,0.0,1161.48,3704.14,0.0,0.0,1677.41,0.0,0.0,0,0.0,0.0,26.23,83.66,0.0,0.0
NG_2015_229,1341.0,412921.45,9326.64,1067.0,18.0,0.0,0,0.0,0.0,48.0,49.0,2.0,1.0,279188.55,14789.5,0.0,0,0.0,0.0,21720.99,31429.88,256.99,126.4,6306.02,334.05,0.0,0,0.0,0.0,490.61,709.91,5.8,2.86
NG_2015_23,106.0,59759.06,1341.55,87.0,0.0,0.0,0,0.0,0.0,1.0,1.0,5.0,1.0,33266.34,0.0,0.0,0,0.0,0.0,5932.98,6459.83,6887.18,322.74,746.81,0.0,0.0,0,0.0,0.0,133.19,145.02,154.61,7.25
NG_2015_230,1281.0,409432.82,9248.22,1153.0,10.0,0.0,0,0.0,1.0,6.0,73.0,5.0,3.0,335863.93,11049.7,0.0,0,0.0,218.88,3895.71,46434.25,2183.55,5579.25,7586.45,249.59,0.0,0,0.0,4.94,88.0,1048.85,49.32,126.02
NG_2015_231,1346.0,425937.87,9621.05,1040.0,23.0,0.0,0,0.0,2.0,53.0,90.0,5.0,7.0,278556.55,26125.34,0.0,0,0.0,269.94,25584.36,50163.55,2147.04,6098.29,6292.01,590.12,0.0,0,0.0,6.1,577.9,1133.09,48.5,137.75
NG_2015_232,1364.0,431917.31,9756.17,1166.0,17.0,0.0,0,0.0,1.0,24.0,82.0,5.0,5.0,330403.23,16244.46,0.0,0,0.0,218.88,9877.46,53174.2,1677.71,5562.32,7463.17,366.93,0.0,0,0.0,4.94,223.11,1201.1,37.9,125.64
NG_2015_233,368.0,160212.93,3618.94,318.0,10.0,0.0,0,0.0,0.0,6.0,1.0,6.0,0.0,111458.39,10982.65,0.0,0,0.0,0.0,9373.14,1156.19,10149.51,0.0,2517.65,248.08,0.0,0,0.0,0.0,211.72,26.12,229.26,0.0
NG_2015_234,456.0,188449.19,4257.18,448.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,173467.24,0.0,0.0,0,0.0,0.0,0.0,12927.82,0.0,0.0,3918.73,0.0,0.0,0,0.0,0.0,0.0,292.05,0.0,0.0
NG_2015_235,1476.0,468183.88,10576.61,1300.0,12.0,0.0,0,0.0,2.0,18.0,82.0,0.0,3.0,350584.87,20891.75,0.0,0,0.0,371.64,14226.65,62277.0,0.0,881.77,7919.96,471.96,0.0,0,0.0,8.4,321.39,1406.88,0.0,19.92
NG_2015_236,1111.0,389477.26,8799.09,1018.0,2.0,0.0,0,0.0,1.0,8.0,56.0,0.0,4.0,313775.64,16556.43,0.0,0,0.0,152.76,4894.66,44846.23,0.0,421.47,7088.84,374.04,0.0,0,0.0,3.45,110.58,1013.17,0.0,9.52
NG_2015_237,472.0,216101.23,4882.34,461.0,2.0,0.0,0,0.0,0.0,0.0,5.0,0.0,3.0,190743.87,11760.24,0.0,0,0.0,0.0,0.0,10017.99,0.0,304.16,4309.44,265.7,0.0,0,0.0,0.0,0.0,226.33,0.0,6.87
NG_2015_238,6.0,15550.03,351.32,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0,6667.69,0.0,169.99,0.0,7535.76,0.0,0.0,0.0,0.0,0,150.64,0.0,3.84,0.0,170.25,0.0
NG_2015_239,4.0,9825.5,221.99,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8378.7,1446.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,189.3,32.69,0.0,0.0
NG_2015_24,2.0,9798.86,219.98,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7720.21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,173.31,0.0,0.0
NG_2015_240,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_241,25.0,23392.24,528.52,11.0,1.0,0.0,0,5.0,0.0,1.0,0.0,0.0,0.0,3839.29,6877.17,0.0,0,7119.14,0.0,1604.92,0.0,0.0,0.0,86.74,155.38,0.0,0,160.85,0.0,36.26,0.0,0.0,0.0
NG_2015_242,700.0,250040.48,5649.45,653.0,2.0,0.0,0,0.0,1.0,4.0,24.0,0.0,0.0,194400.18,6191.87,0.0,0,0.0,152.76,4459.4,35178.24,0.0,0.0,4392.3,139.9,0.0,0,0.0,3.45,100.76,794.82,0.0,0.0
NG_2015_243,714.0,217547.98,4915.31,666.0,0.0,0.0,0,0.0,1.0,7.0,15.0,0.0,0.0,167200.68,0.0,0.0,0,0.0,152.76,9689.71,30790.3,0.0,0.0,3777.76,0.0,0.0,0,0.0,3.45,218.93,695.68,0.0,0.0
NG_2015_244,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_245,36.0,43489.65,982.69,26.0,3.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,19366.01,9221.17,0.0,0,0.0,0.0,11617.45,0.0,0.0,0.0,437.59,208.36,0.0,0,0.0,0.0,262.51,0.0,0.0,0.0
NG_2015_246,274.0,158370.79,3578.57,257.0,2.0,0.0,0,0.0,0.0,0.0,8.0,0.0,5.0,130633.21,11266.44,0.0,0,0.0,0.0,0.0,14916.13,0.0,587.84,2951.81,254.58,0.0,0,0.0,0.0,0.0,337.05,0.0,13.28
NG_2015_247,276.0,152948.32,3456.05,257.0,2.0,0.0,0,0.0,0.0,0.0,9.0,0.0,5.0,121142.65,9194.13,0.0,0,0.0,0.0,0.0,18224.06,0.0,587.84,2737.36,207.75,0.0,0,0.0,0.0,0.0,411.79,0.0,13.28
NG_2015_248,78.0,63571.54,1436.48,39.0,0.0,0.0,0,0.0,0.0,0.0,14.0,0.0,8.0,18086.97,0.0,0.0,0,0.0,0.0,0.0,13436.73,0.0,2724.34,408.7,0.0,0.0,0,0.0,0.0,0.0,303.62,0.0,61.56
NG_2015_249,1.0,8161.59,184.42,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_25,6.0,10555.63,236.98,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,470.71,1539.59,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.57,34.56,0.0,0.0
NG_2015_250,13.0,22447.21,507.23,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7146.82,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,161.49,0.0,0.0
NG_2015_251,8.0,12144.36,274.42,0.0,2.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5015.0,0.0,0,2887.02,0.0,0.0,0.0,0.0,0.0,0.0,113.32,0.0,0,65.24,0.0,0.0,0.0,0.0,0.0
NG_2015_252,166.0,109793.18,2481.08,159.0,2.0,0.0,0,0.0,0.0,0.0,3.0,0.0,2.0,88020.8,4485.54,0.0,0,0.0,0.0,0.0,17003.16,0.0,283.68,1989.07,101.36,0.0,0,0.0,0.0,0.0,384.23,0.0,6.41
