country,year,lat,lon,cons_pc,id,rural
NG,2015,4.31578611574,6.26875289976,4.319034723532269,NG_2015_0,rural
NG,2015,4.32871914124,6.30817186855,4.882200123124889,NG_2015_1,rural
NG,2015,4.39842676868,7.18396240325,8.769932869354152,NG_2015_2,rural
NG,2015,4.42519172703,7.16693458919,10.777791153969725,NG_2015_3,rural
NG,2015,4.61937693024,7.68494550166,5.19291747000233,NG_2015_4,rural
NG,2015,4.62396354007,7.77168188394,7.195728201487227,NG_2015_5,rural
NG,2015,4.63346885221,7.70097809876,1.893494509221003,NG_2015_6,rural
NG,2015,4.66379708075,7.33236455293,5.7441669141576375,NG_2015_7,rural
NG,2015,4.68817896818,7.70875490803,4.472688390125457,NG_2015_8,rural
NG,2015,4.70728140817,6.08810279067,8.517661907619011,NG_2015_9,rural
NG,2015,4.71430815223,7.16791537715,3.1520641239781684,NG_2015_10,urban
NG,2015,4.74375535836,6.77709985593,8.320205400008163,NG_2015_11,urban
NG,2015,4.74700605661,7.30371647702,4.398977901561838,NG_2015_12,rural
NG,2015,4.74700605661,7.30371647702,4.398977901561838,NG_2015_12,urban
NG,2015,4.75394354132,6.72883700328,8.967802983096718,NG_2015_13,rural
NG,2015,4.76075978363,7.16499712449,2.281712746487395,NG_2015_14,rural
NG,2015,4.7633914725,7.93659582805,13.281888082474223,NG_2015_15,rural
NG,2015,4.76758083369,6.98822760384,9.420003829161585,NG_2015_16,urban
NG,2015,4.77589652323,6.83958672566,10.026324251191555,NG_2015_17,rural
NG,2015,4.78376024056,7.02096866736,6.39777135266144,NG_2015_18,urban
NG,2015,4.78786348202,7.10753851126,4.704348663073795,NG_2015_19,rural
NG,2015,4.78973914833,6.30791226865,7.754834843933362,NG_2015_20,rural
NG,2015,4.80794322157,6.97305168438,12.208274262724078,NG_2015_21,urban
NG,2015,4.81131885473,7.01090711768,3.2677395734997363,NG_2015_22,urban
NG,2015,4.81152822621,7.13539967261,8.161373115715675,NG_2015_23,urban
NG,2015,4.81229655902,8.20668747457,4.75409632997268,NG_2015_24,rural
NG,2015,4.8273254021,8.08266879664,18.06786651700824,NG_2015_25,rural
NG,2015,4.82775113852,7.08120765621,5.127566859288329,NG_2015_26,urban
NG,2015,4.82822094307,6.65565833534,6.306762551667666,NG_2015_27,rural
NG,2015,4.83911362418,6.97727467892,10.073383368588466,NG_2015_28,urban
NG,2015,4.84817133474,6.98698237976,18.445632107904874,NG_2015_29,urban
NG,2015,4.84991665216,7.37144906773,7.159580014150657,NG_2015_30,rural
