country,year,lat,lon,cons_pc,id,rural
TZA,2014,-11.3493715591,34.8673122098,1729.3475856164382,TZA_2014_0,rural
TZA,2014,-11.0901302521,37.4814963678,2116.377654109589,TZA_2014_1,rural
TZA,2014,-11.0057748679,37.4874964775,838.0146682363014,TZA_2014_2,rural
TZA,2014,-10.9684589654,39.3676375135,1728.4112842465754,TZA_2014_3,rural
TZA,2014,-10.9639918027,38.5300396029,1069.4451582427964,TZA_2014_4,rural
TZA,2014,-10.94031286,35.0006249306,2727.495792563601,TZA_2014_5,urban
TZA,2014,-10.8809270808,36.1742900042,1149.0843067382452,TZA_2014_6,rural
TZA,2014,-10.8807744679,39.5071799401,2092.173844178082,TZA_2014_7,rural
TZA,2014,-10.8793578858,39.0693554061,1030.9970227574017,TZA_2014_8,rural
TZA,2014,-10.8531666918,38.8352469326,782.7167094748859,TZA_2014_9,rural
TZA,2014,-10.8011107637,39.863194918,1029.5498876284246,TZA_2014_10,rural
TZA,2014,-10.7911457904,39.1978301331,2039.2970579078456,TZA_2014_11,rural
TZA,2014,-10.7460866093,38.6969870839,2062.383035261289,TZA_2014_12,rural
TZA,2014,-10.7450270458,38.800829594,4116.49761454889,TZA_2014_13,urban
TZA,2014,-10.736282966,39.1931575919,2194.3530187721967,TZA_2014_14,rural
TZA,2014,-10.7213748211,35.1486434295,2159.31397260274,TZA_2014_15,rural
TZA,2014,-10.6878777247,35.6586785373,2540.806252446184,TZA_2014_16,urban
TZA,2014,-10.6797403629,35.6544304755,4008.081836631152,TZA_2014_17,urban
TZA,2014,-10.6774330502,38.897796522,1856.9846253632213,TZA_2014_18,rural
TZA,2014,-10.5425273253,40.2787369628,2022.9772420804795,TZA_2014_19,rural
TZA,2014,-10.4946267337,39.0220595748,3197.388470319635,TZA_2014_20,urban
TZA,2014,-10.4618047362,39.0419611432,1937.0598874755383,TZA_2014_21,rural
TZA,2014,-10.4227344203,39.3714618417,1503.4075413812786,TZA_2014_22,rural
TZA,2014,-10.386693784,39.729020686,884.2624944763588,TZA_2014_23,rural
TZA,2014,-10.3847756408,35.6326552784,1000.7273871877519,TZA_2014_24,rural
TZA,2014,-10.3302615579,38.1864481399,1062.4479843444226,TZA_2014_25,rural
TZA,2014,-10.2761020995,38.4596452985,1332.1202625570775,TZA_2014_26,rural
TZA,2014,-10.2659447243,40.1756417019,4298.8819634703195,TZA_2014_27,urban
TZA,2014,-10.2512625024,39.4254679808,1772.2048828988068,TZA_2014_28,rural
TZA,2014,-10.2230680537,40.2248285482,2234.188287671233,TZA_2014_29,rural
TZA,2014,-10.1416470718,34.5873377147,1538.23142530985,TZA_2014_30,rural
TZA,2014,-10.131453704,38.944759845,1372.7804318873668,TZA_2014_31,rural
TZA,2014,-10.0005826103,39.7050602332,4709.559460616439,TZA_2014_32,urban
TZA,2014,-9.87505551567,39.3000983626,1255.2780721192587,TZA_2014_33,rural
TZA,2014,-9.85839905611,37.9849638913,819.2327418664383,TZA_2014_34,rural
TZA,2014,-9.63154043645,39.713459666,1564.7357269111799,TZA_2014_35,rural
TZA,2014,-9.60536197998,39.4828278652,2956.049740198394,TZA_2014_36,rural
TZA,2014,-9.48096545044,34.0423293564,1889.0429566210046,TZA_2014_37,rural
TZA,2014,-9.3170774417,34.7485274997,3638.6648401826483,TZA_2014_38,urban
TZA,2014,-9.31620000288,33.452820059,1236.3505381604696,TZA_2014_39,rural
TZA,2014,-9.24163468187,33.5230601669,1890.0546840477243,TZA_2014_40,rural
TZA,2014,-9.22918254483,33.6631252592,2168.163904109589,TZA_2014_41,rural
TZA,2014,-9.1191788608,34.5322834693,2103.5214819427147,TZA_2014_42,rural
TZA,2014,-9.05321499993,34.8479178596,1339.3602476290832,TZA_2014_43,rural
TZA,2014,-8.94170853685,32.9382649293,1468.8607142857143,TZA_2014_44,rural
TZA,2014,-8.93295895242,33.3530078031,2409.320487062405,TZA_2014_45,urban
TZA,2014,-8.91983407497,33.4174762998,4747.471080669711,TZA_2014_46,urban
TZA,2014,-8.9129278148,33.3459061708,2388.8722734457324,TZA_2014_47,rural
TZA,2014,-8.88438565649,31.9598389899,933.772705479452,TZA_2014_48,rural
TZA,2014,-8.86904269803,32.7841887773,1933.0782612079702,TZA_2014_49,rural
TZA,2014,-8.8553293045,34.8159606388,3104.6963950973322,TZA_2014_50,urban
TZA,2014,-8.84852909132,34.0505701403,1788.2350232387475,TZA_2014_51,rural
TZA,2014,-8.76818809992,34.3369635503,2086.5300489236793,TZA_2014_52,urban
TZA,2014,-8.75634557019,39.419454368,5232.779210314263,TZA_2014_53,urban
TZA,2014,-8.73752521692,34.7647189986,1637.8372742839354,TZA_2014_54,rural
TZA,2014,-8.70889978539,32.262899485,1690.6163907914763,TZA_2014_55,rural
TZA,2014,-8.63640567958,35.1140163085,2836.0967656012176,TZA_2014_56,rural
TZA,2014,-8.56005112607,35.3195585534,2723.5515639269406,TZA_2014_57,rural
TZA,2014,-8.54309098598,36.4731908651,1826.7805175038052,TZA_2014_58,rural
TZA,2014,-8.54101818841,39.2423740129,1079.114317702845,TZA_2014_59,rural
TZA,2014,-8.5389757044,35.6097706469,2723.294520547945,TZA_2014_60,rural
TZA,2014,-8.51126236265,35.0576851304,1889.588812785388,TZA_2014_61,urban
TZA,2014,-8.28937610763,35.2775702444,2693.171494762288,TZA_2014_62,urban
TZA,2014,-8.26352743329,34.7331999747,1752.304514321295,TZA_2014_63,rural
TZA,2014,-8.20363604197,36.7126866565,2810.7383561643837,TZA_2014_64,rural
TZA,2014,-8.18134254649,31.9886059865,842.5833686176837,TZA_2014_65,rural
TZA,2014,-8.14482490559,36.6845935093,4284.426743462018,TZA_2014_66,urban
TZA,2014,-8.11942834042,35.7171407268,1076.0061154598827,TZA_2014_67,rural
TZA,2014,-8.1026184687,36.6699035135,2398.8772046232875,TZA_2014_68,rural
TZA,2014,-8.08496958585,35.4405558417,1474.143138001015,TZA_2014_69,rural
TZA,2014,-7.93476244069,31.6137746742,2863.4744422700587,TZA_2014_70,urban
TZA,2014,-7.87168786297,32.490648763,2190.715885142255,TZA_2014_71,rural
TZA,2014,-7.80284079687,35.7176366798,2756.1988013698633,TZA_2014_72,urban
TZA,2014,-7.74163359127,35.6530491305,3477.2976494396016,TZA_2014_73,urban
TZA,2014,-7.72434862405,38.9431380073,2973.8285347358124,TZA_2014_74,urban
TZA,2014,-7.64011607954,39.1654208906,1951.1098899958488,TZA_2014_75,rural
TZA,2014,-7.51521967191,36.8511579143,2483.5171018835613,TZA_2014_76,rural
TZA,2014,-7.51228164313,36.101559442,1589.7104607721046,TZA_2014_77,rural
TZA,2014,-7.42580292763,35.842000222,2380.7562085726913,TZA_2014_78,rural
TZA,2014,-7.4088293557,36.9879981253,5555.870106053911,TZA_2014_79,urban
TZA,2014,-7.40381822038,30.6762925418,912.3669697685403,TZA_2014_80,rural
TZA,2014,-7.36293150711,30.625976852,2173.4136898489637,TZA_2014_81,urban
TZA,2014,-7.29017409032,39.2105958185,1709.647056645687,TZA_2014_82,rural
TZA,2014,-7.24617782198,31.3858000113,1097.6765091711168,TZA_2014_83,rural
TZA,2014,-7.19139028499,37.8775434587,3075.5642530984996,TZA_2014_84,rural
TZA,2014,-7.19080881367,38.9276247999,1660.8425135393438,TZA_2014_85,rural
TZA,2014,-7.16942060509,37.5763623273,1110.3122672989111,TZA_2014_86,rural
TZA,2014,-7.10263324737,39.5285200002,3544.1529736050784,TZA_2014_87,urban
TZA,2014,-7.09372627888,31.0665263845,1552.3470319634703,TZA_2014_88,rural
TZA,2014,-6.96121829966,37.6789258734,1361.584338096363,TZA_2014_89,rural
TZA,2014,-6.95439287494,39.0837347527,3524.960098349139,TZA_2014_90,urban
TZA,2014,-6.94910084618,39.2788498674,3794.2074133763094,TZA_2014_91,urban
TZA,2014,-6.93363401287,39.2595041435,3769.8458245521606,TZA_2014_92,urban
TZA,2014,-6.93361349066,39.2652930732,4817.485414987913,TZA_2014_93,urban
TZA,2014,-6.93055897645,39.2377106622,5734.151487954653,TZA_2014_94,urban
TZA,2014,-6.91267845796,39.150289474,3500.6630351027397,TZA_2014_95,urban
TZA,2014,-6.9113766978,39.2511900009,3647.532759295499,TZA_2014_96,urban
TZA,2014,-6.9081056572,39.2646862845,3126.7255855059657,TZA_2014_97,urban
TZA,2014,-6.90406973466,39.2852229434,5301.841829745596,TZA_2014_98,urban
TZA,2014,-6.90320619048,39.246134241,4018.1243493150687,TZA_2014_99,urban
TZA,2014,-6.90285937921,39.2138754831,4513.527600202943,TZA_2014_100,urban
TZA,2014,-6.89804424335,39.288483926,3042.5756647864628,TZA_2014_101,urban
TZA,2014,-6.89327579407,39.2627093461,2801.630519273654,TZA_2014_102,urban
TZA,2014,-6.89141349255,39.1806510277,5520.491913389305,TZA_2014_103,urban
TZA,2014,-6.89021011056,39.1909820305,6732.908853373921,TZA_2014_104,urban
TZA,2014,-6.88777248832,39.1782947509,3999.961584276355,TZA_2014_105,urban
TZA,2014,-6.88381951097,39.2723383699,4462.6464699683875,TZA_2014_106,urban
TZA,2014,-6.88333197761,39.2760157008,3899.4442922374433,TZA_2014_107,urban
TZA,2014,-6.88153775845,39.2125102148,4356.811124232404,TZA_2014_108,urban
TZA,2014,-6.87863985823,39.2781544708,4732.38968997837,TZA_2014_109,urban
TZA,2014,-6.87538424712,39.2502576768,3963.4163988408854,TZA_2014_110,urban
TZA,2014,-6.87445121282,39.2746921453,4355.933637747336,TZA_2014_111,urban
TZA,2014,-6.87072485727,39.2584511389,10164.926484018264,TZA_2014_112,urban
TZA,2014,-6.86703976157,39.1541856532,4206.98058573453,TZA_2014_113,urban
TZA,2014,-6.86665200001,39.2276647176,4177.2524966858155,TZA_2014_114,urban
TZA,2014,-6.86444735195,39.1243580365,4272.116947878383,TZA_2014_115,urban
TZA,2014,-6.86245458731,39.158926986,3364.8370223503966,TZA_2014_116,urban
TZA,2014,-6.85480649719,39.180871061,6272.851949420443,TZA_2014_117,urban
TZA,2014,-6.85367507661,39.233995109,2636.18624093473,TZA_2014_118,urban
TZA,2014,-6.85169960515,39.3107913622,7190.108843674456,TZA_2014_119,urban
TZA,2014,-6.84691781754,39.2706653851,4039.5312417145383,TZA_2014_120,urban
TZA,2014,-6.84131113922,39.2573796896,4333.28451120797,TZA_2014_121,urban
TZA,2014,-6.83419357169,39.2442852079,4910.387265347539,TZA_2014_122,urban
TZA,2014,-6.83101929397,39.2262653573,8801.76333601934,TZA_2014_123,urban
TZA,2014,-6.82915315983,39.2195008525,7066.596484018265,TZA_2014_124,urban
TZA,2014,-6.82870678062,39.2233928551,3224.7634770346494,TZA_2014_125,urban
TZA,2014,-6.82416356423,39.2689677155,4792.774400684932,TZA_2014_126,urban
TZA,2014,-6.82411489309,39.2167427481,6510.55060435133,TZA_2014_127,urban
TZA,2014,-6.82123040254,30.4229241043,2695.220610211706,TZA_2014_128,urban
TZA,2014,-6.81749671795,39.1634744475,3852.815742722603,TZA_2014_129,urban
TZA,2014,-6.81490523707,39.2321460433,3755.203113325031,TZA_2014_130,urban
TZA,2014,-6.8121835911,39.112141073,4422.043108750349,TZA_2014_131,urban
TZA,2014,-6.80956793018,39.2285379781,5983.496259220232,TZA_2014_132,urban
TZA,2014,-6.80922232698,37.6722848168,5675.48896499239,TZA_2014_133,urban
