country,year,lat,lon,cons_pc,id,rural
MW,2016,-17.09515,35.217213,284.3374704677475,MW_2016_0,rural
MW,2016,-17.092351,35.114643,287.13174107142856,MW_2016_1,rural
MW,2016,-17.016698,35.079629,338.1743611696523,MW_2016_2,rural
MW,2016,-16.977243,35.205706,357.89208696554584,MW_2016_3,rural
MW,2016,-16.956385,35.168967,234.2507656355266,MW_2016_4,rural
MW,2016,-16.954723,35.215598,314.53075623944454,MW_2016_5,rural
MW,2016,-16.939071,35.24181,302.1554268805575,MW_2016_6,urban
MW,2016,-16.914725,35.265168,944.5459378470936,MW_2016_7,urban
MW,2016,-16.826165,35.269503,225.48213827054795,MW_2016_8,rural
MW,2016,-16.750418,35.257341,372.3083412393558,MW_2016_9,rural
MW,2016,-16.738025,34.927118,268.18491965226553,MW_2016_10,rural
MW,2016,-16.737738,35.242437,326.2579163728848,MW_2016_11,rural
MW,2016,-16.648067,35.113616,240.3033777723418,MW_2016_12,rural
MW,2016,-16.592197,35.129116,313.96495165189367,MW_2016_13,rural
MW,2016,-16.579039,35.102457,414.472672440288,MW_2016_14,rural
MW,2016,-16.5564,35.033896,396.96419455931766,MW_2016_15,rural
MW,2016,-16.541381,34.933292,284.4776874048706,MW_2016_16,rural
MW,2016,-16.521567,35.042003,402.18777985074627,MW_2016_17,rural
MW,2016,-16.506757,35.151249,395.1893047231735,MW_2016_18,rural
MW,2016,-16.497695,34.947832,204.18512275395838,MW_2016_19,rural
MW,2016,-16.4966,34.943521,317.6929726653859,MW_2016_20,rural
MW,2016,-16.489865,34.827208,296.4739000148898,MW_2016_21,rural
MW,2016,-16.483227,35.240196,176.0931901574453,MW_2016_22,rural
MW,2016,-16.472382,35.132391,246.57662958750765,MW_2016_23,rural
MW,2016,-16.465764,34.828724,288.9566470941525,MW_2016_24,rural
MW,2016,-16.421608,35.189122,419.6177083333334,MW_2016_25,rural
MW,2016,-16.4184,35.126675,318.7918010585305,MW_2016_26,rural
MW,2016,-16.392512,34.890469,294.83771985455775,MW_2016_27,rural
MW,2016,-16.386542,35.141033,786.5868530304988,MW_2016_28,rural
MW,2016,-16.368803,34.656367,289.0102035286978,MW_2016_29,rural
MW,2016,-16.349154,35.128115,351.70735838578304,MW_2016_30,rural
MW,2016,-16.33911,35.274649,155.69642110697018,MW_2016_31,rural
MW,2016,-16.321642,34.76847,296.96858173991626,MW_2016_32,rural
MW,2016,-16.308801,35.149457,259.2611849063255,MW_2016_33,rural
MW,2016,-16.307387,35.278111,306.2975671666988,MW_2016_34,rural
MW,2016,-16.269667,35.048295,431.14638235459245,MW_2016_35,rural
MW,2016,-16.26714,34.845016,797.9031402886496,MW_2016_36,rural
MW,2016,-16.237141,35.113096,298.5466699711608,MW_2016_37,rural
MW,2016,-16.226333,34.824941,377.3111245227936,MW_2016_38,rural
MW,2016,-16.215058,34.976689,420.4173734655755,MW_2016_39,rural
MW,2016,-16.207909,35.15497,342.68334900628787,MW_2016_40,rural
MW,2016,-16.196075,35.208329,262.93300161850254,MW_2016_41,rural
MW,2016,-16.181382,35.219897,270.9021611761399,MW_2016_42,rural
MW,2016,-16.177162,34.678861,226.31269826964675,MW_2016_43,rural
MW,2016,-16.17673,34.930358,334.3762946034025,MW_2016_44,rural
MW,2016,-16.153,35.198578,348.09883500489235,MW_2016_45,rural
MW,2016,-16.146878,34.855856,414.3695391902342,MW_2016_46,rural
MW,2016,-16.139062,35.151528,329.96182844606165,MW_2016_47,rural
MW,2016,-16.119842,35.561699,321.7022743238497,MW_2016_48,rural
MW,2016,-16.119289,35.381973,308.96009940402064,MW_2016_49,rural
MW,2016,-16.113604,35.346823,310.54846595487516,MW_2016_50,rural
MW,2016,-16.108243,35.110525,359.55671112713287,MW_2016_51,rural
MW,2016,-16.099412,35.303969,348.1389685080405,MW_2016_52,rural
MW,2016,-16.097034,35.073377,439.77208986433084,MW_2016_53,rural
MW,2016,-16.096666,34.975852,210.88446178926628,MW_2016_54,rural
MW,2016,-16.094797,35.681098,259.95488804004214,MW_2016_55,rural
MW,2016,-16.091054,35.56195,358.092854479673,MW_2016_56,rural
MW,2016,-16.084998,35.581694,284.7634779002568,MW_2016_57,rural
MW,2016,-16.081528,34.529636,349.1106202801194,MW_2016_58,rural
MW,2016,-16.054833,35.360422,316.00831841531755,MW_2016_59,rural
MW,2016,-16.051462,35.244837,451.8367910958904,MW_2016_60,rural
MW,2016,-16.047835,35.472547,358.26942499388457,MW_2016_61,rural
MW,2016,-16.04697,34.910217,398.6607776380565,MW_2016_62,rural
MW,2016,-16.044566,35.695152,531.7658097797815,MW_2016_63,rural
MW,2016,-16.043878,35.6054,330.5534590569961,MW_2016_64,rural
MW,2016,-16.041099,35.145198,579.7455907534246,MW_2016_65,rural
