id,total_count,total_length,total_density,count_tertiary,count_trunk,count_pedestrian,count_secondary,count_service,count_track,count_residential,count_living_street,count_primary,count_intersection,length_tertiary,length_trunk,length_pedestrian,length_secondary,length_service,length_track,length_residential,length_living_street,length_primary,length_intersection,density_tertiary,density_trunk,density_pedestrian,density_secondary,density_service,density_track,density_residential,density_living_street,density_primary,density_intersection
UGA_2009_345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_346,1.0,8792.84,196.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,8792.84,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,196.08,0.0,0.0,0.0,0,0.0,0
UGA_2009_347,1.0,5778.07,128.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5778.07,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,128.85,0.0,0.0,0.0,0,0.0,0
UGA_2009_348,2.0,6969.49,155.42,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6969.49,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,155.42,0.0,0.0,0.0,0,0.0,0
UGA_2009_349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_352,5.0,8271.08,184.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,5627.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,125.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_354,1.0,4586.61,102.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4586.61,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,102.29,0.0,0.0,0.0,0,0.0,0
UGA_2009_355,2.0,11554.01,257.67,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,11554.01,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,257.67,0.0,0.0,0.0,0,0.0,0
UGA_2009_356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
UGA_2009_357,45.0,32500.08,724.79,7.0,10.0,0.0,4.0,1.0,0.0,9.0,0,0.0,0,4446.9,11645.87,0.0,3169.86,128.96,0.0,4462.38,0,0.0,0,99.17,259.72,0.0,70.69,2.88,0.0,99.52,0,0.0,0
UGA_2009_358,42.0,29904.65,666.91,7.0,10.0,0.0,4.0,1.0,0.0,8.0,0,0.0,0,3598.45,12466.79,0.0,3169.86,128.96,0.0,2985.49,0,0.0,0,80.25,278.02,0.0,70.69,2.88,0.0,66.58,0,0.0,0
