id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
MW_2019_173,536.0,173252.26,4160.14,0,0.0,0.0,0.0,0.0,26.0,0.0,82.0,13.0,0.0,0,0.0,0.0,0.0,0.0,9955.98,0.0,38356.22,2559.76,0.0,0,0.0,0.0,0.0,0.0,239.06,0.0,921.01,61.47,0.0
MW_2019_174,62.0,63845.36,1533.04,0,0.0,5.0,0.0,0.0,1.0,4.0,32.0,0.0,2.0,0,0.0,7240.7,0.0,0.0,639.14,7758.39,30476.42,0.0,2002.62,0,0.0,173.86,0.0,0.0,15.35,186.29,731.79,0.0,48.09
MW_2019_175,53.0,45413.9,1090.46,0,0.0,0.0,0.0,0.0,2.0,6.0,32.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1437.16,8743.01,19793.96,0.0,0.0,0,0.0,0.0,0.0,0.0,34.51,209.93,475.28,0.0,0.0
MW_2019_176,93.0,64603.7,1551.11,0,0.0,3.0,0.0,0.0,21.0,2.0,25.0,0.0,0.0,0,0.0,6795.06,0.0,0.0,12727.91,10176.57,17789.27,0.0,0.0,0,0.0,163.15,0.0,0.0,305.59,244.34,427.11,0.0,0.0
MW_2019_177,654.0,245908.13,5903.9,0,0.0,1.0,0.0,0.0,57.0,2.0,196.0,0.0,5.0,0,0.0,8827.92,0.0,0.0,23503.44,3726.6,68995.6,0.0,6092.6,0,0.0,211.95,0.0,0.0,564.28,89.47,1656.48,0.0,146.27
MW_2019_178,604.0,246813.15,5925.37,0,0.0,3.0,0.0,0.0,28.0,8.0,88.0,1.0,5.0,0,0.0,7053.72,0.0,0.0,9837.69,2321.22,43836.15,399.69,4370.15,0,0.0,169.34,0.0,0.0,236.18,55.73,1052.4,9.6,104.92
MW_2019_179,766.0,285819.87,6861.79,0,0.0,3.0,0.0,0.0,47.0,9.0,202.0,1.0,7.0,0,0.0,8078.39,0.0,0.0,16915.97,3868.68,74611.9,399.69,7873.26,0,0.0,193.94,0.0,0.0,406.11,92.88,1791.24,9.6,189.02
MW_2019_18,23.0,40341.05,977.44,0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6437.76,14430.95,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,155.98,349.65,0.0,0.0
MW_2019_180,899.0,188419.15,4523.18,0,0.0,0.0,0.0,0.0,46.0,1.0,74.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8055.57,1637.92,44681.16,0.0,0.0,0,0.0,0.0,0.0,0.0,193.38,39.32,1072.61,0.0,0.0
MW_2019_181,717.0,275929.67,6623.84,0,0.0,3.0,0.0,0.0,36.0,4.0,197.0,1.0,5.0,0,0.0,8168.29,0.0,0.0,13050.13,1279.01,72209.45,348.33,6570.77,0,0.0,196.08,0.0,0.0,313.28,30.7,1733.43,8.36,157.73
