id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
NG_2018_0,1.0,2192.44,49.15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NG_2018_1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NG_2018_10,438.0,100595.23,2257.43,0,0.0,0.0,0.0,0,1.0,10.0,390.0,16.0,5.0,0,0.0,0.0,0.0,0,272.99,14345.5,69090.68,1455.04,7458.18,0,0.0,0.0,0.0,0,6.13,321.92,1550.44,32.65,167.37
NG_2018_100,921.0,247158.18,5561.67,0,0.0,0.0,9.0,0,0.0,22.0,804.0,24.0,8.0,0,0.0,0.0,14317.03,0,0.0,13878.94,164017.69,5785.79,14263.02,0,0.0,0.0,322.17,0,0.0,312.31,3690.81,130.19,320.95
NG_2018_101,548.0,222598.06,5009.41,0,0.0,0.0,2.0,0,7.0,14.0,436.0,10.0,2.0,0,0.0,0.0,5469.57,0,2071.27,34046.55,118479.4,1793.08,12091.05,0,0.0,0.0,123.09,0,46.61,766.19,2666.3,40.35,272.1
NG_2018_102,2.0,300.65,6.77,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,300.65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.77
NG_2018_103,479.0,112332.5,2528.03,0,0.0,0.0,2.0,0,0.0,5.0,454.0,1.0,3.0,0,0.0,0.0,1797.82,0,0.0,6529.42,88770.38,118.61,7098.76,0,0.0,0.0,40.46,0,0.0,146.94,1997.77,2.67,159.76
NG_2018_104,639.0,211305.73,4755.56,0,0.0,0.0,0.0,0,0.0,6.0,568.0,6.0,2.0,0,0.0,0.0,0.0,0,0.0,13599.81,135546.48,1325.92,5081.6,0,0.0,0.0,0.0,0,0.0,306.07,3050.56,29.84,114.36
NG_2018_105,98.0,106213.02,2390.42,0,0.0,2.0,0.0,0,1.0,9.0,40.0,1.0,2.0,0,0.0,9989.41,0.0,0,141.82,35469.52,17415.12,311.31,1447.4,0,0.0,224.82,0.0,0,3.19,798.27,391.94,7.01,32.58
NG_2018_106,900.0,227193.11,5113.29,0,0.0,0.0,9.0,0,0.0,7.0,839.0,4.0,8.0,0,0.0,0.0,7485.17,0,0.0,12424.36,158917.93,112.52,12720.44,0,0.0,0.0,168.46,0,0.0,279.63,3576.66,2.53,286.29
NG_2018_107,277.0,88958.37,2002.14,0,0.0,0.0,0.0,0,2.0,5.0,249.0,3.0,1.0,0,0.0,0.0,0.0,0,1292.35,10629.77,44757.39,182.78,7810.84,0,0.0,0.0,0.0,0,29.09,239.24,1007.33,4.11,175.8
NG_2018_108,827.0,251063.25,5651.41,0,0.0,0.0,0.0,0,0.0,8.0,764.0,0.0,11.0,0,0.0,0.0,0.0,0,0.0,18251.83,169706.05,0.0,15785.31,0,0.0,0.0,0.0,0,0.0,410.85,3820.07,0.0,355.33
NG_2018_109,235.0,131293.35,2955.45,0,0.0,6.0,0.0,0,6.0,7.0,156.0,3.0,0.0,0,0.0,5898.35,0.0,0,2869.24,17506.42,47553.81,724.53,0.0,0,0.0,132.77,0.0,0,64.59,394.07,1070.45,16.31,0.0
NG_2018_11,151.0,58052.77,1302.76,0,0.0,0.0,0.0,0,1.0,0.0,125.0,3.0,7.0,0,0.0,0.0,0.0,0,514.25,0.0,26888.95,710.59,10815.46,0,0.0,0.0,0.0,0,11.54,0.0,603.41,15.95,242.71
NG_2018_110,302.0,98470.32,2216.6,0,0.0,0.0,2.0,0,0.0,8.0,257.0,6.0,8.0,0,0.0,0.0,6842.9,0,0.0,5847.98,53442.89,885.94,12057.04,0,0.0,0.0,154.04,0,0.0,131.64,1203.02,19.94,271.41
NG_2018_111,67.0,61445.3,1383.16,0,0.0,2.0,0.0,0,2.0,10.0,28.0,5.0,0.0,0,0.0,13996.33,0.0,0,2325.5,25038.11,6475.8,318.87,0.0,0,0.0,315.06,0.0,0,52.35,563.62,145.77,7.18,0.0
NG_2018_112,761.0,242384.03,5456.35,0,0.0,0.0,0.0,0,0.0,21.0,673.0,0.0,6.0,0,0.0,0.0,0.0,0,0.0,26248.67,159971.88,0.0,14544.93,0,0.0,0.0,0.0,0,0.0,590.89,3601.15,0.0,327.42
NG_2018_113,208.0,64135.28,1443.85,0,0.0,0.0,0.0,0,1.0,0.0,183.0,3.0,5.0,0,0.0,0.0,0.0,0,3066.53,0.0,29258.67,347.95,6343.23,0,0.0,0.0,0.0,0,69.04,0.0,658.69,7.83,142.8
NG_2018_114,308.0,100778.5,2268.93,0,0.0,0.0,0.0,0,0.0,13.0,250.0,26.0,4.0,0,0.0,0.0,0.0,0,0.0,13841.53,56132.96,3690.96,12071.76,0,0.0,0.0,0.0,0,0.0,311.63,1263.78,83.1,271.78
NG_2018_115,38.0,37808.8,851.28,0,0.0,10.0,0.0,0,0.0,6.0,11.0,0.0,0.0,0,0.0,14009.07,0.0,0,0.0,10437.74,2103.62,0.0,0.0,0,0.0,315.42,0.0,0,0.0,235.01,47.36,0.0,0.0
