id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
TZA_2014_0,5.0,10607.52,245.88,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2961.86,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,68.65,0.0,0.0,0.0,0.0
TZA_2014_1,4.0,13727.87,317.64,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9629.44,3257.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,222.81,75.37,0.0,0.0
TZA_2014_10,2.0,7764.57,179.32,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,874.71,0.0,0.0,6889.86,0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0,159.11
TZA_2014_100,44.0,47464.7,1073.46,0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,1.0,0,0.0,0.0,375.43,0.0,0.0,773.25,888.52,11218.81,193.58,0,0.0,0.0,8.49,0.0,0.0,17.49,20.09,253.72,4.38
TZA_2014_101,75.0,52227.34,1181.14,0,0.0,0.0,9.0,0.0,0.0,0.0,30.0,1.0,2.0,0,0.0,0.0,13958.43,0.0,0.0,0.0,14947.13,19.85,1373.09,0,0.0,0.0,315.68,0.0,0.0,0.0,338.04,0.45,31.05
TZA_2014_102,93.0,68839.55,1556.81,0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,1.0,3.0,0,0.0,0.0,14025.69,0.0,0.0,14.88,1175.12,78.4,2006.57,0,0.0,0.0,317.19,0.0,0.0,0.34,26.58,1.77,45.38
TZA_2014_103,150.0,104283.0,2358.34,0,0.0,0.0,5.0,0.0,5.0,4.0,38.0,50.0,1.0,0,0.0,0.0,8162.6,0.0,5713.09,10314.55,17179.92,17493.48,2063.06,0,0.0,0.0,184.6,0.0,129.2,233.26,388.52,395.61,46.66
TZA_2014_104,146.0,99051.6,2240.02,0,0.0,0.0,5.0,0.0,3.0,4.0,28.0,52.0,1.0,0,0.0,0.0,7531.61,0.0,1453.57,5286.97,14055.48,22816.66,2063.06,0,0.0,0.0,170.32,0.0,32.87,119.56,317.86,515.99,46.66
TZA_2014_105,162.0,111842.07,2529.25,0,0.0,0.0,5.0,0.0,6.0,4.0,43.0,50.0,1.0,0,0.0,0.0,8125.59,0.0,6270.45,10662.82,22303.31,16137.41,2063.06,0,0.0,0.0,183.76,0.0,141.8,241.13,504.38,364.94,46.66
TZA_2014_106,163.0,105654.26,2389.27,0,0.0,0.0,15.0,0.0,0.0,1.0,12.0,4.0,1.0,0,0.0,0.0,20642.74,0.0,0.0,1067.31,5415.39,1515.22,2946.63,0,0.0,0.0,466.82,0.0,0.0,24.14,122.46,34.27,66.64
TZA_2014_107,177.0,113422.12,2564.93,0,0.0,0.0,15.0,0.0,0.0,1.0,26.0,5.0,1.0,0,0.0,0.0,20924.21,0.0,0.0,1121.73,13204.55,2028.81,3006.86,0,0.0,0.0,473.18,0.0,0.0,25.37,298.61,45.88,68.0
TZA_2014_108,226.0,124185.62,2808.32,0,0.0,0.0,5.0,0.0,1.0,2.0,24.0,52.0,1.0,0,0.0,0.0,9487.39,0.0,63.91,948.09,7116.59,23701.31,2063.06,0,0.0,0.0,214.55,0.0,1.45,21.44,160.93,535.98,46.65
TZA_2014_109,229.0,139132.52,3146.29,0,0.0,0.0,15.0,0.0,0.0,3.0,31.0,7.0,1.0,0,0.0,0.0,24917.08,0.0,0.0,3221.21,16104.13,3001.34,3446.82,0,0.0,0.0,563.47,0.0,0.0,72.84,364.17,67.87,77.95
TZA_2014_11,4.0,9051.71,209.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_2014_110,326.0,172105.41,3891.88,0,0.0,0.0,17.0,0.0,0.0,5.0,10.0,10.0,1.0,0,0.0,0.0,26683.2,0.0,0.0,5019.17,2458.9,3661.58,3446.82,0,0.0,0.0,603.4,0.0,0.0,113.5,55.6,82.8,77.94
TZA_2014_111,274.0,155825.61,3523.72,0,0.0,0.0,17.0,0.0,0.0,3.0,25.0,10.0,1.0,0,0.0,0.0,28025.21,0.0,0.0,4430.29,11108.89,3464.6,3446.82,0,0.0,0.0,633.74,0.0,0.0,100.18,251.21,78.35,77.94
TZA_2014_112,388.0,186762.29,4223.23,0,0.0,0.0,24.0,0.0,0.0,5.0,16.0,7.0,1.0,0,0.0,0.0,32150.92,0.0,0.0,6914.14,5079.29,2883.19,3446.82,0,0.0,0.0,727.02,0.0,0.0,156.35,114.86,65.2,77.94
TZA_2014_113,206.0,132462.28,2995.31,0,0.0,0.0,3.0,0.0,8.0,8.0,130.0,0.0,0.0,0,0.0,0.0,7044.61,0.0,4470.02,14134.55,66695.95,0.0,0.0,0,0.0,0.0,159.3,0.0,101.08,319.62,1508.17,0.0,0.0
TZA_2014_114,355.0,175152.64,3960.64,0,0.0,0.0,14.0,0.0,1.0,9.0,48.0,55.0,2.0,0,0.0,0.0,19537.37,0.0,63.91,8982.93,15812.63,22371.02,3372.37,0,0.0,0.0,441.79,0.0,1.45,203.13,357.56,505.86,76.26
TZA_2014_115,98.0,86120.82,1947.39,0,0.0,0.0,3.0,0.0,6.0,4.0,62.0,0.0,0.0,0,0.0,0.0,2669.37,0.0,5603.51,8418.94,45307.13,0.0,0.0,0,0.0,0.0,60.36,0.0,126.71,190.37,1024.5,0.0,0.0
TZA_2014_116,222.0,135888.73,3072.73,0,0.0,0.0,2.0,0.0,6.0,9.0,137.0,0.0,0.0,0,0.0,0.0,6227.88,0.0,2672.93,13208.89,65642.95,0.0,0.0,0,0.0,0.0,140.83,0.0,60.44,298.68,1484.32,0.0,0.0
TZA_2014_117,349.0,170927.51,3864.9,0,0.0,0.0,5.0,0.0,1.0,9.0,145.0,49.0,1.0,0,0.0,0.0,8454.37,0.0,63.91,10524.26,60611.72,14532.9,2063.06,0,0.0,0.0,191.16,0.0,1.45,237.97,1370.51,328.61,46.65
TZA_2014_118,556.0,253258.89,5726.5,0,0.0,0.0,17.0,0.0,0.0,13.0,114.0,40.0,1.0,0,0.0,0.0,26334.88,0.0,0.0,16606.41,33236.4,16048.57,2166.74,0,0.0,0.0,595.46,0.0,0.0,375.49,751.52,362.88,48.99
TZA_2014_119,291.0,147896.1,3344.09,0,0.0,0.0,9.0,0.0,3.0,17.0,61.0,7.0,8.0,0,0.0,0.0,12720.8,0.0,795.97,17159.85,31430.81,2850.66,15373.78,0,0.0,0.0,287.63,0.0,18.0,388.0,710.68,64.46,347.62
TZA_2014_12,1.0,7050.88,162.77,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7050.88,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,162.77,0.0,0.0,0.0
TZA_2014_120,620.0,279446.17,6318.45,0,1.0,0.0,30.0,1.0,0.0,19.0,106.0,25.0,22.0,0,69.4,0.0,46046.0,55.51,0.0,16178.02,33587.45,6996.52,13168.04,0,1.57,0.0,1041.13,1.26,0.0,365.79,759.43,158.2,297.74
