id,total_count,total_length,total_density,count_tertiary,count_trunk,count_pedestrian,count_secondary,count_service,count_track,count_residential,count_living_street,count_primary,count_intersection,length_tertiary,length_trunk,length_pedestrian,length_secondary,length_service,length_track,length_residential,length_living_street,length_primary,length_intersection,density_tertiary,density_trunk,density_pedestrian,density_secondary,density_service,density_track,density_residential,density_living_street,density_primary,density_intersection
NER_2011_163,4.0,21473.95,507.41,1.0,0.0,0,1.0,0.0,2.0,0.0,0,0.0,0,6803.27,0.0,0,7019.04,0.0,7651.64,0.0,0,0.0,0,160.75,0.0,0,165.85,0.0,180.8,0.0,0,0.0,0
NER_2011_164,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_165,3.0,11722.65,277.07,0.0,0.0,0,0.0,0.0,2.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0.0,3593.59,0.0,0,8129.07,0,0.0,0.0,0,0.0,0.0,84.94,0.0,0,192.13,0
NER_2011_166,2.0,7763.76,183.51,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,7763.76,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,183.51,0.0,0,0.0,0
NER_2011_167,4.0,17735.98,419.24,0.0,0.0,0,1.0,0.0,3.0,0.0,0,0.0,0,0.0,0.0,0,6794.39,0.0,10941.59,0.0,0,0.0,0,0.0,0.0,0,160.6,0.0,258.63,0.0,0,0.0,0
NER_2011_168,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_169,1.0,4626.86,109.41,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4626.86,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,109.41,0
NER_2011_17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_170,2.0,10699.73,253.05,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,10699.73,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,253.05,0.0,0.0,0.0,0,0.0,0
NER_2011_171,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_172,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_173,2.0,11876.26,281.03,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,5218.52,0.0,0.0,0.0,0,6657.74,0,0.0,0.0,0,123.49,0.0,0.0,0.0,0,157.55,0
NER_2011_174,1.0,1996.58,47.25,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1996.58,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,47.25,0.0,0,0.0,0
NER_2011_175,8.0,20869.24,493.85,3.0,0.0,0,5.0,0.0,0.0,0.0,0,0.0,0,8368.3,0.0,0,12500.94,0.0,0.0,0.0,0,0.0,0,198.03,0.0,0,295.82,0.0,0.0,0.0,0,0.0,0
NER_2011_176,2.0,8232.65,194.82,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,6871.45,0.0,0.0,0.0,0,1361.2,0,0.0,0.0,0,162.61,0.0,0.0,0.0,0,32.21,0
NER_2011_177,4.0,12648.38,299.33,0.0,0.0,0,0.0,0.0,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,12648.38,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,299.33,0.0,0,0.0,0
NER_2011_178,3.0,4352.91,103.02,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3171.76,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,75.06,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_179,1.0,4279.49,101.3,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4279.49,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,101.3,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_18,1.0,6210.47,145.93,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6210.47,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,145.93,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_180,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_181,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_182,4.0,13847.17,327.84,0.0,0.0,0,0.0,0.0,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,13847.17,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,327.84,0.0,0,0.0,0
NER_2011_183,4.0,13489.64,319.38,0.0,2.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,6384.62,0,7105.02,0.0,0.0,0.0,0,0.0,0,0.0,151.16,0,168.22,0.0,0.0,0.0,0,0.0,0
NER_2011_184,1.0,661.46,15.66,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,661.46,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,15.66,0.0,0.0,0.0,0,0.0,0
NER_2011_185,1.0,6548.17,155.07,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,6548.17,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,155.07,0.0,0,0.0,0
NER_2011_186,2.0,2598.72,61.55,0.0,0.0,0,1.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,1185.87,0.0,1412.84,0.0,0,0.0,0,0.0,0.0,0,28.09,0.0,33.47,0.0,0,0.0,0
NER_2011_187,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_188,1.0,6575.03,155.85,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,6575.03,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,155.85,0.0,0.0,0.0,0,0.0,0
NER_2011_189,3.0,10909.29,258.58,0.0,0.0,0,2.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,4049.59,0.0,0.0,0.0,0,6859.7,0,0.0,0.0,0,95.99,0.0,0.0,0.0,0,162.6,0
