id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
TZA_2012_599,1755.0,446946.31,10103.73,0,1.0,0.0,43.0,1.0,14.0,55.0,721.0,27.0,23.0,0,69.4,0.0,43243.66,66.43,5079.88,31101.8,217386.57,3820.79,9619.92,0,1.57,0.0,977.57,1.5,114.84,703.09,4914.27,86.37,217.47
TZA_2012_6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_2012_60,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_2012_600,256.0,143508.83,3244.18,0,0.0,1.0,2.0,0.0,20.0,0.0,209.0,3.0,0.0,0,0.0,5001.04,4645.81,0.0,5432.66,0.0,102764.21,125.68,0.0,0,0.0,113.05,105.02,0.0,122.81,0.0,2323.1,2.84,0.0
TZA_2012_601,1757.0,439941.97,9945.37,0,0.0,0.0,45.0,0.0,15.0,52.0,744.0,35.0,11.0,0,0.0,0.0,40230.58,0.0,5489.07,30363.05,218937.92,5925.69,6940.44,0,0.0,0.0,909.46,0.0,124.09,686.39,4949.33,133.96,156.9
TZA_2012_602,289.0,156926.69,3547.49,0,0.0,1.0,2.0,0.0,21.0,0.0,242.0,3.0,0.0,0,0.0,4312.84,6099.34,0.0,5599.5,0.0,109937.75,1580.99,0.0,0,0.0,97.5,137.88,0.0,126.58,0.0,2485.26,35.74,0.0
TZA_2012_603,297.0,152233.83,3441.4,0,0.0,12.0,0.0,0.0,4.0,0.0,208.0,9.0,20.0,0,0.0,9053.96,0.0,0.0,744.77,0.0,90376.3,1556.96,4238.05,0,0.0,204.67,0.0,0.0,16.84,0.0,2043.05,35.2,95.81
TZA_2012_604,1686.0,410908.96,9289.02,0,1.0,0.0,43.0,0.0,15.0,53.0,704.0,36.0,9.0,0,49.49,0.0,41989.61,0.0,5345.2,27086.02,203374.02,8356.57,5294.35,0,1.12,0.0,949.22,0.0,120.83,612.31,4597.48,188.91,119.68
TZA_2012_605,1770.0,446238.12,10087.65,0,2.0,0.0,45.0,1.0,14.0,55.0,726.0,30.0,24.0,0,220.23,0.0,42432.85,66.43,5038.4,30774.67,218510.4,4000.33,9765.83,0,4.98,0.0,959.24,1.5,113.9,695.69,4939.64,90.43,220.77
TZA_2012_606,1.0,7302.58,165.08,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7302.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,165.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_2012_607,1421.0,370652.59,8378.94,0,2.0,0.0,37.0,1.0,3.0,46.0,599.0,50.0,28.0,0,281.08,0.0,36992.77,66.43,542.07,30676.21,177724.66,7034.45,11737.5,0,6.35,0.0,836.26,1.5,12.25,693.46,4017.63,159.02,265.34
TZA_2012_608,1.0,6859.32,155.06,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6859.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,155.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_2012_609,618.0,263298.06,5952.08,0,0.0,0.0,25.0,0.0,24.0,21.0,354.0,50.0,1.0,0,0.0,0.0,31568.76,0.0,7214.4,14791.07,124249.19,17371.07,433.36,0,0.0,0.0,713.64,0.0,163.09,334.36,2808.76,392.69,9.8
TZA_2012_61,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_2012_610,317.0,152778.19,3453.69,0,0.0,13.0,0.0,0.0,6.0,2.0,221.0,17.0,14.0,0,0.0,12015.39,0.0,0.0,1541.45,1915.64,96985.13,3789.69,6848.95,0,0.0,271.62,0.0,0.0,34.85,43.3,2192.44,85.67,154.83
TZA_2012_611,1292.0,331192.74,7486.87,0,0.0,0.0,25.0,0.0,16.0,33.0,390.0,50.0,3.0,0,0.0,0.0,31498.6,0.0,5811.19,19042.71,135711.32,15864.2,2448.39,0,0.0,0.0,712.05,0.0,131.37,430.48,3067.86,358.62,55.35
TZA_2012_612,1432.0,350459.45,7922.4,0,0.0,0.0,27.0,0.0,15.0,45.0,465.0,51.0,3.0,0,0.0,0.0,31590.23,0.0,5569.69,23893.15,145677.02,14439.92,3197.21,0,0.0,0.0,714.12,0.0,125.91,540.12,3293.14,326.43,72.28
TZA_2012_613,122.0,89250.17,2017.57,0,0.0,1.0,0.0,0.0,6.0,0.0,104.0,1.0,0.0,0,0.0,7312.23,0.0,0.0,1896.77,0.0,63009.96,12.1,0.0,0,0.0,165.3,0.0,0.0,42.88,0.0,1424.39,0.27,0.0
TZA_2012_614,1784.0,448093.61,10129.46,0,1.0,0.0,46.0,0.0,14.0,49.0,782.0,35.0,18.0,0,211.68,0.0,37741.22,0.0,5106.07,29354.77,235394.83,5876.8,8072.42,0,4.79,0.0,853.17,0.0,115.43,663.58,5321.26,132.85,182.48
TZA_2012_615,1252.0,327092.16,7394.14,0,0.0,0.0,25.0,0.0,16.0,30.0,382.0,50.0,8.0,0,0.0,0.0,31302.39,0.0,5987.44,18523.83,136703.1,15965.47,2940.91,0,0.0,0.0,707.61,0.0,135.35,418.74,3090.27,360.91,66.48
TZA_2012_616,321.0,175947.22,3977.39,0,0.0,1.0,2.0,0.0,20.0,0.0,254.0,2.0,0.0,0,0.0,2337.52,9312.75,0.0,5858.62,0.0,113354.39,4783.54,0.0,0,0.0,52.84,210.52,0.0,132.44,0.0,2562.44,108.13,0.0
