id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
ETH_2018_161,0.0,0.0,0.0,6.0,1875819.81,42799.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_162,0.0,0.0,0.0,2.0,1171374.7,26736.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_163,304.0,230644.71,5265.75,35.0,9949776.19,227158.96,0.0,0.0,0.0,12.0,315257.81,7197.51,5.0,22868.38,522.1
ETH_2018_164,307.0,440305.11,10052.52,28.0,9286000.84,212006.94,0.0,0.0,0.0,14.0,323944.71,7395.92,5.0,22868.38,522.1
ETH_2018_165,266.0,124493.97,2842.53,37.0,9066043.35,207002.21,0.0,0.0,0.0,8.0,111244.4,2540.01,5.0,22868.38,522.15
ETH_2018_166,202.0,129615.67,2959.67,40.0,9897347.74,225998.09,0.0,0.0,0.0,7.0,81114.04,1852.17,2.0,0.0,0.0
ETH_2018_167,0.0,0.0,0.0,7.0,2570504.8,58701.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_168,512.0,342172.87,7814.12,59.0,17171651.52,392145.09,0.0,0.0,0.0,14.0,97769.18,2232.73,1.0,0.0,0.0
ETH_2018_169,1272.0,476697.06,10886.87,49.0,21090751.39,481673.21,0.0,0.0,0.0,13.0,18436.1,421.05,1.0,0.0,0.0
ETH_2018_17,0.0,0.0,0.0,2.0,1603201.98,36116.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_170,1149.0,584804.16,13356.15,47.0,20550443.12,469344.71,0.0,0.0,0.0,30.0,271487.61,6200.41,4.0,0.0,0.0
ETH_2018_171,1103.0,535192.21,12223.28,31.0,14582423.44,333048.75,0.0,0.0,0.0,27.0,294437.09,6724.66,4.0,328.23,7.5
ETH_2018_172,1135.0,553122.45,12632.87,30.0,15532532.84,354750.57,0.0,0.0,0.0,27.0,294437.09,6724.71,4.0,328.23,7.5
ETH_2018_173,1657.0,627062.46,14321.73,38.0,23314868.28,532497.7,0.0,0.0,0.0,42.0,336693.42,7689.88,6.0,328.23,7.5
