id,total_count,total_length,total_density,count_trunk,count_residential,count_pedestrian,count_service,count_primary,count_intersection,count_secondary,count_living_street,count_track,count_tertiary,length_trunk,length_residential,length_pedestrian,length_service,length_primary,length_intersection,length_secondary,length_living_street,length_track,length_tertiary,density_trunk,density_residential,density_pedestrian,density_service,density_primary,density_intersection,density_secondary,density_living_street,density_track,density_tertiary
ETH_2013_374,7.0,20382.93,473.17,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,17248.67,0.0,0.0,3134.26,0.0,0.0,0.0,0.0,0.0,0,400.41,0.0,0.0,72.76
ETH_2013_375,1.0,4462.34,103.59,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4462.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,103.59,0.0,0.0,0.0
ETH_2013_376,452.0,171760.72,3987.66,0.0,344.0,0.0,12.0,41.0,0,3.0,0.0,5.0,13.0,0.0,114056.04,0.0,2824.23,28104.58,0,8190.08,0.0,3490.9,10565.43,0.0,2647.97,0.0,65.57,652.49,0,190.14,0.0,81.05,245.29
ETH_2013_377,322.0,114911.04,2667.95,1.0,206.0,0.0,15.0,33.0,0,2.0,0.0,4.0,14.0,3809.65,63119.57,0.0,2630.94,11460.85,0,4803.11,0.0,1012.35,13263.01,88.45,1465.48,0.0,61.08,266.09,0,111.52,0.0,23.5,307.93
ETH_2013_378,499.0,192754.3,4475.47,0.0,364.0,0.0,12.0,44.0,0,3.0,0.0,2.0,14.0,0.0,120686.9,0.0,2943.6,27772.41,0,7176.97,0.0,2058.65,14479.97,0.0,2802.17,0.0,68.35,644.83,0,166.64,0.0,47.8,336.2
ETH_2013_379,3.0,5754.19,133.64,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5754.19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,133.64,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_38,61.0,49865.64,1124.82,0.0,53.0,0.0,0.0,0.0,0,2.0,0.0,3.0,2.0,0.0,24720.22,0.0,0.0,0.0,0,8422.9,0.0,11375.42,4836.63,0.0,557.61,0.0,0.0,0.0,0,190.0,0.0,256.6,109.1
ETH_2013_380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_383,1.0,8242.41,191.49,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8242.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.49,0,0.0,0.0,0.0,0.0
ETH_2013_384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_386,1.0,8272.95,192.22,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8272.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,192.22,0.0,0.0,0.0
ETH_2013_387,1.0,6002.12,139.56,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6002.12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,139.56,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_388,1.0,5908.54,137.41,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5908.54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.41,0,0.0,0.0,0.0,0.0
ETH_2013_389,1.0,8002.82,186.12,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8002.82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.12,0,0.0,0.0,0.0,0.0
ETH_2013_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_390,199.0,71619.73,1665.91,0.0,187.0,0.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,50195.51,0.0,0.0,15434.59,0,0.0,0.0,0.0,0.0,0.0,1167.57,0.0,0.0,359.02,0,0.0,0.0,0.0,0.0
ETH_2013_391,2.0,5023.26,116.88,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4143.56,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,96.41,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_392,3.0,8807.87,204.97,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8807.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.97,0,0.0,0.0,0.0,0.0
ETH_2013_393,1.0,10094.27,235.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10094.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,235.0,0.0,0.0,0.0
ETH_2013_394,1.0,1999.8,46.57,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1999.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.57,0.0,0.0,0.0
ETH_2013_395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_396,2.0,5754.42,134.01,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5754.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.01,0,0.0,0.0,0.0,0.0
ETH_2013_397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
