country,year,lat,lon,cons_pc,id,rural
MW,2016,-17.09515,35.217213,1.321703102177422,MW_2016_0,rural
MW,2016,-17.092351,35.114643,1.3346918796295564,MW_2016_1,rural
MW,2016,-17.016698,35.079629,1.5719563851346028,MW_2016_2,rural
MW,2016,-16.977243,35.205706,1.6636114853556354,MW_2016_3,rural
MW,2016,-16.956385,35.168967,1.0888820355565163,MW_2016_4,rural
MW,2016,-16.954723,35.215598,1.4620523829237595,MW_2016_5,rural
MW,2016,-16.939071,35.24181,1.4045273891999246,MW_2016_6,urban
MW,2016,-16.914725,35.265168,4.390590146799499,MW_2016_7,urban
MW,2016,-16.826165,35.269503,1.0481222933703567,MW_2016_8,rural
MW,2016,-16.750418,35.257341,1.7306234340943243,MW_2016_9,rural
MW,2016,-16.738025,34.927118,1.246620220959617,MW_2016_10,rural
MW,2016,-16.737738,35.242437,1.5165644523411368,MW_2016_11,rural
MW,2016,-16.648067,35.113616,1.1170167594968587,MW_2016_12,rural
MW,2016,-16.592197,35.129116,1.4594223191570597,MW_2016_13,rural
MW,2016,-16.579039,35.102457,1.9266184510642375,MW_2016_14,rural
MW,2016,-16.5564,35.033896,1.8452327318636854,MW_2016_15,rural
MW,2016,-16.541381,34.933292,1.322354881067023,MW_2016_16,rural
MW,2016,-16.521567,35.042003,1.8695138400581566,MW_2016_17,rural
MW,2016,-16.506757,35.151249,1.8369824038341234,MW_2016_18,rural
MW,2016,-16.497695,34.947832,0.9491260849948235,MW_2016_19,rural
MW,2016,-16.4966,34.943521,1.4767515052485365,MW_2016_20,rural
MW,2016,-16.489865,34.827208,1.3781176034228186,MW_2016_21,rural
MW,2016,-16.483227,35.240196,0.8185446516090259,MW_2016_22,rural
MW,2016,-16.472382,35.132391,1.1461770962305475,MW_2016_23,rural
MW,2016,-16.465764,34.828724,1.3431747009314716,MW_2016_24,rural
MW,2016,-16.421608,35.189122,1.9505344333280787,MW_2016_25,rural
MW,2016,-16.4184,35.126675,1.481859255885801,MW_2016_26,rural
MW,2016,-16.392512,34.890469,1.3705120479887263,MW_2016_27,rural
MW,2016,-16.386542,35.141033,3.6563393564419857,MW_2016_28,rural
MW,2016,-16.368803,34.656367,1.3434236505530728,MW_2016_29,rural
MW,2016,-16.349154,35.128115,1.6348626365438672,MW_2016_30,rural
MW,2016,-16.33911,35.274649,0.7237331134601442,MW_2016_31,rural
MW,2016,-16.321642,34.76847,1.3804170624757615,MW_2016_32,rural
MW,2016,-16.308801,35.149457,1.2051394837310174,MW_2016_33,rural
MW,2016,-16.307387,35.278111,1.4237815510127905,MW_2016_34,rural
MW,2016,-16.269667,35.048295,2.0041238677168147,MW_2016_35,rural
MW,2016,-16.26714,34.845016,3.7089415405636363,MW_2016_36,rural
MW,2016,-16.237141,35.113096,1.3877525856740034,MW_2016_37,rural
MW,2016,-16.226333,34.824941,1.753878174928741,MW_2016_38,rural
MW,2016,-16.215058,34.976689,1.9542515652426624,MW_2016_39,rural
MW,2016,-16.207909,35.15497,1.592915786656878,MW_2016_40,rural
MW,2016,-16.196075,35.208329,1.2222074119612565,MW_2016_41,rural
MW,2016,-16.181382,35.219897,1.2592509394701321,MW_2016_42,rural
MW,2016,-16.177162,34.678861,1.0519830357675775,MW_2016_43,rural
MW,2016,-16.17673,34.930358,1.5543016020536722,MW_2016_44,rural
MW,2016,-16.153,35.198578,1.6180889185426588,MW_2016_45,rural
MW,2016,-16.146878,34.855856,1.926139050525471,MW_2016_46,rural
MW,2016,-16.139062,35.151528,1.5337815713837204,MW_2016_47,rural
MW,2016,-16.119842,35.561699,1.4953881852149136,MW_2016_48,rural
MW,2016,-16.119289,35.381973,1.4361579610298263,MW_2016_49,rural
MW,2016,-16.113604,35.346823,1.4435412615642427,MW_2016_50,rural
MW,2016,-16.108243,35.110525,1.6713492587652035,MW_2016_51,rural
MW,2016,-16.099412,35.303969,1.6182754735384703,MW_2016_52,rural
MW,2016,-16.097034,35.073377,2.0442192668752224,MW_2016_53,rural
MW,2016,-16.096666,34.975852,0.9802670287858007,MW_2016_54,rural
MW,2016,-16.094797,35.681098,1.2083640660638177,MW_2016_55,rural
MW,2016,-16.091054,35.56195,1.6645447251632548,MW_2016_56,rural
MW,2016,-16.084998,35.581694,1.3236833383530195,MW_2016_57,rural
MW,2016,-16.081528,34.529636,1.622792061377844,MW_2016_58,rural
MW,2016,-16.054833,35.360422,1.46892062476434,MW_2016_59,rural
MW,2016,-16.051462,35.244837,2.1003003490427052,MW_2016_60,rural
MW,2016,-16.047835,35.472547,1.6653654885892026,MW_2016_61,rural
MW,2016,-16.04697,34.910217,1.8531190618453868,MW_2016_62,rural
MW,2016,-16.044566,35.695152,2.4718392523561152,MW_2016_63,rural
