country,year,lat,lon,cons_pc,id,rural
TZA,2012,-11.4970123249,35.6076255042,1075.231720303997,TZA_2012_0,rural
TZA,2012,-11.3667549011,35.0224675311,874.740410958904,TZA_2012_1,rural
TZA,2012,-11.315454126,34.7862970999,2155.80904772426,TZA_2012_2,rural
TZA,2012,-11.315454126,34.7862970999,2155.80904772426,TZA_2012_2,urban
TZA,2012,-11.267839701,34.7884049024,1978.206506849315,TZA_2012_3,rural
TZA,2012,-11.2404514254,38.33209914,6004.714383561643,TZA_2012_4,rural
TZA,2012,-11.2012125073,35.3468738771,638.8370433789954,TZA_2012_5,rural
TZA,2012,-11.1703191963,34.9964716241,972.5220478793467,TZA_2012_6,rural
TZA,2012,-11.1618291011,35.4674338839,1758.8417808219178,TZA_2012_7,rural
TZA,2012,-11.1304756689,38.528375051,653.425799086758,TZA_2012_8,rural
TZA,2012,-11.1127016122,38.4629931414,3801.4828767123286,TZA_2012_9,rural
TZA,2012,-11.1087903236,34.6421658288,1327.5281477703293,TZA_2012_10,urban
TZA,2012,-11.0780505125,37.3247080963,527.7687928082191,TZA_2012_11,rural
TZA,2012,-11.0724511372,37.3192514844,1364.1870656531908,TZA_2012_12,urban
TZA,2012,-11.062240589,37.3051757552,2323.379417808219,TZA_2012_13,urban
TZA,2012,-11.062240589,37.3051757552,2323.379417808219,TZA_2012_13,rural
TZA,2012,-11.0443711361,34.6598029279,5018.624315068493,TZA_2012_14,rural
TZA,2012,-11.044048051,38.1831269594,3062.9647260273973,TZA_2012_15,rural
TZA,2012,-11.0262823921,37.362473797,1652.9633478115602,TZA_2012_16,urban
TZA,2012,-11.0119370026,37.2691084887,1280.0728673723536,TZA_2012_17,rural
TZA,2012,-11.0119370026,37.2691084887,1280.0728673723536,TZA_2012_17,urban
TZA,2012,-10.9874462869,34.8933878158,1868.1653348554032,TZA_2012_18,rural
TZA,2012,-10.981236236,35.0422782094,2211.1611301369862,TZA_2012_19,rural
TZA,2012,-10.9714279638,37.39884616,1121.1478424657535,TZA_2012_20,rural
TZA,2012,-10.9505694462,37.4387814884,1430.4213698630138,TZA_2012_21,rural
TZA,2012,-10.9505471404,39.2777689026,2501.0234082331563,TZA_2012_22,rural
TZA,2012,-10.9393721764,38.3953678051,1438.3859589041097,TZA_2012_23,urban
TZA,2012,-10.9309871113,39.4037209019,724.0958113804004,TZA_2012_24,rural
TZA,2012,-10.9208769633,39.2926942753,5364.025228310503,TZA_2012_25,rural
TZA,2012,-10.9208769633,39.2926942753,5364.025228310503,TZA_2012_25,urban
TZA,2012,-10.9202339616,38.4762802371,1397.8908044301952,TZA_2012_26,rural
TZA,2012,-10.9183934217,39.3589398477,1238.9555650684931,TZA_2012_27,rural
TZA,2012,-10.916402672,39.3427062603,2064.303881278539,TZA_2012_28,rural
TZA,2012,-10.9113323051,39.6383616081,9448.014383561644,TZA_2012_29,rural
TZA,2012,-10.8776946161,39.7235629408,1238.8528538812786,TZA_2012_30,rural
TZA,2012,-10.8758642315,39.6613308814,263.3378424657534,TZA_2012_31,rural
TZA,2012,-10.8698608032,39.7722727755,888.4095890410958,TZA_2012_32,rural
TZA,2012,-10.8638518884,39.3435805857,2334.054280821918,TZA_2012_33,rural
TZA,2012,-10.8567162216,39.1481155257,587.9693065068493,TZA_2012_34,rural
TZA,2012,-10.8526338524,39.3925343551,1359.5398401826485,TZA_2012_35,rural
TZA,2012,-10.8499100642,38.7712088052,1678.39200913242,TZA_2012_36,rural
TZA,2012,-10.8444701079,39.7615866141,2297.232534246575,TZA_2012_37,rural
TZA,2012,-10.8363756837,38.7993439648,945.9119178082192,TZA_2012_38,rural
TZA,2012,-10.8339031339,39.6313789733,767.1077625570775,TZA_2012_39,urban
TZA,2012,-10.8334915333,39.3881477176,1764.0081351770484,TZA_2012_40,rural
TZA,2012,-10.8316089119,39.7388824298,1133.354490494828,TZA_2012_41,rural
TZA,2012,-10.814478961,35.2847225571,1382.884703196347,TZA_2012_42,rural
TZA,2012,-10.8119998781,39.4753451943,1411.3164383561643,TZA_2012_43,rural
TZA,2012,-10.8023137682,39.3275441437,1619.0183789954337,TZA_2012_44,rural
TZA,2012,-10.7995220047,39.421460278,1279.47551369863,TZA_2012_45,rural
TZA,2012,-10.7963029763,39.5170007783,1369.4494331601325,TZA_2012_46,rural
TZA,2012,-10.7956744316,37.7944945739,882.4710616438356,TZA_2012_47,rural
TZA,2012,-10.7949647148,38.6445300857,837.5302226027397,TZA_2012_48,rural
TZA,2012,-10.7920607683,35.7555383543,1146.039522688356,TZA_2012_49,rural
TZA,2012,-10.7834295755,39.1128015083,2093.324564975935,TZA_2012_50,rural
TZA,2012,-10.7780833291,38.767341617,1665.014550038052,TZA_2012_51,rural
TZA,2012,-10.777879528,39.7102249877,2624.9721461187214,TZA_2012_52,urban
